grid,lambda,unlabeled,batch_size,train_acc,test_acc
grid_search_1,0.01,10,100,1.0,0.5036734693877551
grid_search_1,0.01,10,120,1.0,0.5028571428571429
grid_search_1,0.01,10,150,1.0,0.5363265306122449
grid_search_1,0.01,10,80,0.994088669950739,0.5191836734693878
grid_search_1,0.01,15,100,1.0,0.48489795918367345
grid_search_1,0.01,15,120,1.0,0.516734693877551
grid_search_1,0.01,15,150,1.0,0.5085714285714286
grid_search_1,0.01,15,80,0.9960591133004926,0.5265306122448979
grid_search_1,0.01,5,100,1.0,0.5216326530612245
grid_search_1,0.01,5,120,1.0,0.5020408163265306
grid_search_1,0.01,5,150,1.0,0.5061224489795918
grid_search_1,0.01,5,80,1.0,0.5151020408163265
grid_search_2,0.3,10,100,0.903448275862069,0.483265306122449
grid_search_2,0.3,10,120,0.9113300492610837,0.47836734693877553
grid_search_2,0.3,10,80,0.9103448275862069,0.4946938775510204
grid_search_2,0.3,15,100,0.9689655172413794,0.4963265306122449
grid_search_2,0.3,15,120,0.9591133004926108,0.4751020408163265
grid_search_2,0.3,15,80,0.9798029556650246,0.5102040816326531
grid_search_2,0.3,5,100,0.8433497536945813,0.47183673469387755
grid_search_2,0.3,5,120,0.8103448275862069,0.4816326530612245
grid_search_2,0.3,5,80,0.8443349753694581,0.4889795918367347
grid_search_2,0.5,10,100,0.8147783251231527,0.5159183673469387
grid_search_2,0.5,10,120,0.7487684729064039,0.4873469387755102
grid_search_2,0.5,10,80,0.7812807881773399,0.4930612244897959
grid_search_2,0.5,15,100,0.8492610837438423,0.5053061224489795
grid_search_2,0.5,15,120,0.7827586206896552,0.5020408163265306
grid_search_2,0.5,15,80,0.8438423645320197,0.4906122448979592
grid_search_2,0.5,5,100,0.716256157635468,0.483265306122449
grid_search_2,0.5,5,120,0.712807881773399,0.4897959183673469
grid_search_2,0.5,5,80,0.7029556650246306,0.4881632653061225
grid_search_3,0.3,10,150,0.9167487684729064,0.52
grid_search_3,0.3,10,170,0.9019704433497537,0.4946938775510204
grid_search_3,0.3,15,150,0.9325123152709359,0.4946938775510204
grid_search_3,0.3,15,170,0.9133004926108375,0.4742857142857143
grid_search_3,0.3,5,150,0.8384236453201971,0.47183673469387755
grid_search_3,0.3,5,170,0.7911330049261084,0.49387755102040815
grid_search_3,0.5,10,150,0.7724137931034483,0.5077551020408163
grid_search_3,0.5,10,170,0.7684729064039408,0.5012244897959184
grid_search_3,0.5,15,150,0.8147783251231527,0.5183673469387755
grid_search_3,0.5,15,170,0.783743842364532,0.5093877551020408
grid_search_3,0.5,5,150,0.7093596059113301,0.4889795918367347
grid_search_3,0.5,5,170,0.7137931034482758,0.4816326530612245
grid_search_4,0.1,10,100,1.0,0.5175510204081633
grid_search_4,0.1,10,120,1.0,0.49387755102040815
grid_search_4,0.1,10,150,1.0,0.5151020408163265
grid_search_4,0.1,10,170,0.9985221674876847,0.48244897959183675
grid_search_4,0.1,10,80,0.9980295566502463,0.5142857142857142
grid_search_4,0.1,15,100,1.0,0.5118367346938776
grid_search_4,0.1,15,120,1.0,0.5053061224489795
grid_search_4,0.1,15,150,1.0,0.4546938775510204
grid_search_4,0.1,15,170,1.0,0.5118367346938776
grid_search_4,0.1,15,80,0.9960591133004926,0.5159183673469387
grid_search_4,0.1,5,100,0.9945812807881773,0.4930612244897959
grid_search_4,0.1,5,120,0.9990147783251232,0.4897959183673469
grid_search_4,0.1,5,150,0.9852216748768473,0.506938775510204
grid_search_4,0.1,5,170,0.9990147783251232,0.49714285714285716
grid_search_4,0.1,5,80,0.993103448275862,0.5110204081632653
