grid,lambda,unlabeled,batch_size,orig_train_acc,orig_test_acc,mod1_train_acc,mod1_test_acc,mod1_avg_rank_train,mod1_avg_rank_test,mod2_train_acc,mod2_test_acc,mod2_avg_rank_train,mod2_avg_rank_test
grid_search_1,0.01,10,100,1.0,0.14122448979591837,1.0,0.14122448979591837,1.0,2.246530612244898,1.0,0.14122448979591837,1.0,2.246530612244898
grid_search_1,0.01,10,120,1.0,0.13795918367346938,1.0,0.13877551020408163,1.0,2.1983673469387757,1.0,0.13877551020408163,1.0,2.1983673469387757
grid_search_1,0.01,10,150,1.0,0.14530612244897959,1.0,0.14530612244897959,1.0,2.1444897959183673,1.0,0.14530612244897959,1.0,2.1444897959183673
grid_search_1,0.01,10,80,0.994088669950739,0.15510204081632653,0.9965510445407962,0.15510204081632653,1.0039416633819471,2.369795918367347,0.9965510445407962,0.15510204081632653,1.0039416633819471,2.369795918367347
grid_search_1,0.01,15,100,0.9970443349753695,0.12653061224489795,0.997832085139929,0.12653061224489795,1.0022664564446195,2.346122448979592,0.997832085139929,0.12653061224489795,1.0022664564446195,2.346122448979592
grid_search_1,0.01,15,120,1.0,0.1436734693877551,1.0,0.14285714285714285,1.0,2.213877551020408,1.0,0.14285714285714285,1.0,2.213061224489796
grid_search_1,0.01,15,150,1.0,0.1493877551020408,1.0,0.1493877551020408,1.0,2.262857142857143,1.0,0.1493877551020408,1.0,2.262857142857143
grid_search_1,0.01,15,80,0.9960591133004926,0.13306122448979593,0.9964525029562475,0.13306122448979593,1.0034489554592039,2.273469387755102,0.9964525029562475,0.13306122448979593,1.0034489554592039,2.273469387755102
grid_search_1,0.01,5,100,1.0,0.1436734693877551,1.0,0.1436734693877551,1.0,2.226122448979592,1.0,0.1436734693877551,1.0,2.226122448979592
grid_search_1,0.01,5,120,1.0,0.1306122448979592,1.0,0.1306122448979592,1.0,2.3746938775510205,1.0,0.1306122448979592,1.0,2.3746938775510205
grid_search_1,0.01,5,150,1.0,0.12244897959183673,1.0,0.12163265306122449,1.0,2.3289795918367346,1.0,0.12163265306122449,1.0,2.3289795918367346
grid_search_1,0.01,5,80,0.996551724137931,0.1273469387755102,0.9979306267244777,0.12816326530612246,1.0022664564446195,2.3877551020408165,0.9979306267244777,0.12816326530612246,1.0022664564446195,2.3877551020408165
grid_search_2,0.3,10,100,0.6748768472906403,0.10122448979591837,0.7313756405202996,0.10285714285714286,1.5271974773354355,6.3461224489795915,0.7313756405202996,0.10285714285714286,1.5271974773354355,6.3461224489795915
grid_search_2,0.3,10,120,0.716256157635468,0.10122448979591837,0.7264485612928656,0.10040816326530612,1.5849428458809618,5.342040816326531,0.7264485612928656,0.10040816326530612,1.5849428458809618,5.342040816326531
grid_search_2,0.3,10,80,0.7068965517241379,0.09795918367346938,0.740441466298778,0.09959183673469388,1.5904611746156878,6.255510204081633,0.740441466298778,0.09959183673469388,1.5904611746156878,6.255510204081633
grid_search_2,0.3,15,100,0.8502463054187193,0.10938775510204081,0.8648994875837603,0.1110204081632653,1.251872290106425,4.1053061224489795,0.8648994875837603,0.1110204081632653,1.251872290106425,4.1053061224489795
grid_search_2,0.3,15,120,0.8024630541871921,0.10612244897959183,0.8294245171462357,0.10448979591836735,1.3257784785179345,4.938775510204081,0.8294245171462357,0.10448979591836735,1.3257784785179345,4.938775510204081
grid_search_2,0.3,15,80,0.9270935960591133,0.11510204081632654,0.9346669294442255,0.11673469387755102,1.159243200630666,3.6342857142857143,0.9346669294442255,0.11673469387755102,1.159243200630666,3.6342857142857143
grid_search_2,0.3,5,100,0.5083743842364532,0.10285714285714286,0.5751872290106425,0.10040816326530612,2.0486795427670477,7.094693877551021,0.5751872290106425,0.10040816326530612,2.0486795427670477,7.094693877551021
grid_search_2,0.3,5,120,0.4714285714285714,0.08489795918367347,0.5363618446984627,0.08653061224489796,2.1616081986598346,7.753469387755102,0.5363618446984627,0.08653061224489796,2.1616081986598346,7.753469387755102
grid_search_2,0.3,5,80,0.4852216748768473,0.0946938775510204,0.5745959795033504,0.09306122448979592,2.010346866377611,6.9714285714285715,0.5745959795033504,0.09306122448979592,2.010346866377611,6.9714285714285715
grid_search_2,0.5,10,100,0.3448275862068966,0.09142857142857143,0.43318880567599527,0.09061224489795919,2.70447378793851,8.227755102040817,0.43318880567599527,0.09061224489795919,2.70447378793851,8.227755102040817
grid_search_2,0.5,10,120,0.31133004926108376,0.08734693877551021,0.3984036263303114,0.08326530612244898,3.0214820654316124,8.624489795918368,0.3984036263303114,0.08326530612244898,3.0214820654316124,8.624489795918368
grid_search_2,0.5,10,80,0.39901477832512317,0.11510204081632654,0.46689002759164366,0.11183673469387755,2.5444422546314547,7.862857142857143,0.46689002759164366,0.11183673469387755,2.5444422546314547,7.862857142857143
grid_search_2,0.5,15,100,0.4689655172413793,0.08897959183673469,0.5490737091052424,0.08734693877551021,2.299172250689791,7.137142857142857,0.5490737091052424,0.08734693877551021,2.299172250689791,7.137142857142857
grid_search_2,0.5,15,120,0.34876847290640395,0.0963265306122449,0.4459992116673236,0.0946938775510204,2.517244777296019,7.866122448979592,0.4459992116673236,0.0946938775510204,2.517244777296019,7.866122448979592
grid_search_2,0.5,15,80,0.46551724137931033,0.0946938775510204,0.5466101694915254,0.09306122448979592,2.099329917225069,6.890612244897959,0.5466101694915254,0.09306122448979592,2.099329917225069,6.890612244897959
grid_search_2,0.5,5,100,0.23201970443349754,0.08734693877551021,0.32814347654710285,0.08816326530612245,3.604552621206149,9.490612244897958,0.32814347654710285,0.08816326530612245,3.604552621206149,9.490612244897958
grid_search_2,0.5,5,120,0.22266009852216748,0.07102040816326531,0.3206543161214032,0.07020408163265306,3.612534489554592,10.036734693877552,0.3206543161214032,0.07020408163265306,3.612534489554592,10.036734693877552
grid_search_2,0.5,5,80,0.24088669950738917,0.08653061224489796,0.338884509262909,0.08244897959183674,3.4178163184864014,9.394285714285715,0.338884509262909,0.08244897959183674,3.4178163184864014,9.394285714285715
grid_search_3,0.3,10,150,0.6266009852216748,0.09959183673469388,0.6897910918407568,0.09959183673469388,1.7430035474970438,6.241632653061225,0.6897910918407568,0.09959183673469388,1.7430035474970438,6.241632653061225
grid_search_3,0.3,10,170,0.6527093596059114,0.09877551020408164,0.6835829720141899,0.09877551020408164,1.8355340953882537,6.048163265306123,0.6835829720141899,0.09877551020408164,1.8355340953882537,6.048163265306123
grid_search_3,0.3,15,150,0.7950738916256158,0.10040816326530612,0.8190776507686244,0.1036734693877551,1.370516357903035,4.741224489795918,0.8190776507686244,0.1036734693877551,1.370516357903035,4.741224489795918
grid_search_3,0.3,15,170,0.7275862068965517,0.0946938775510204,0.7609381158849035,0.0946938775510204,1.5747930626724478,4.702857142857143,0.7609381158849035,0.0946938775510204,1.5747930626724478,4.702857142857143
grid_search_3,0.3,5,150,0.5078817733990147,0.09959183673469388,0.558730784391013,0.09795918367346938,2.1299763500197084,7.3395918367346935,0.558730784391013,0.09795918367346938,2.1299763500197084,7.3395918367346935
grid_search_3,0.3,5,170,0.4266009852216749,0.08816326530612245,0.5043358297201419,0.08571428571428572,2.351891998423335,8.18204081632653,0.5043358297201419,0.08571428571428572,2.351891998423335,8.18204081632653
grid_search_3,0.5,10,150,0.316256157635468,0.0963265306122449,0.39919195900670085,0.09061224489795919,3.000591249507292,8.64326530612245,0.39919195900670085,0.09061224489795919,3.000591249507292,8.64326530612245
