clone_id	n_used	delta_mean
64854.0	117	-0.00045921659329906106
63942.0	17	-0.0010891171405091882
61713.0	12	1.7608204871066846e-05
59576.0	55	-0.0006535974680446088
46616.0	11	-0.0017421245574951172
63638.0	23	-0.00032449286663904786
56911.0	10	0.0001220405101776123
64935.0	60	0.002789239166304469
51165.0	18	-0.002832651138305664
60138.0	13	-0.006229258608072996
61206.0	19	0.006847412791103125
19762.0	12	-0.005834986921399832
62242.0	39	-0.0017830500146374106
31799.0	17	-0.0027992024552077055
62342.0	11	-0.001506409840658307
57941.0	21	-0.0038054557517170906
21808.0	12	0.00018366177391726524
60275.0	20	0.0024846314918249846
60662.0	36	0.0039856634102761745
3787.0	20	0.0017961084377020597
20974.0	10	-0.0012470961082726717
64461.0	28	-0.0007710371864959598
31264.0	78	-0.0009438242414034903
61068.0	17	0.009980075061321259
64326.0	23	0.005537813063710928
56158.0	10	-0.0005015730857849121
29556.0	18	0.00023468997096642852
50331.0	28	-0.005349672399461269
24642.0	200	0.0012684661196544766
55678.0	10	-0.003264832543209195
