Gene,C,Z,Pval,FDR
Satb1,0.042360025475216674,8.744074,1.1242616032293843e-18,1.2987738520888708e-17
Fchsd2,0.0338550837690647,8.731396,1.2577444253596079e-18,1.4422136077456835e-17
Mef2c,0.04371667238474237,8.652073,2.5286159322354285e-18,2.8781598993385614e-17
Pcsk9,0.04741127512426548,8.643285,2.7309773569913047e-18,3.085805071987255e-17
H1f0,0.04365439918965055,8.634264,2.955317829760893e-18,3.315095652514393e-17
Tcf4,0.046697064962007595,8.578478,4.8068408165115895e-18,5.353229916517943e-17
Cd276,0.026094012830642836,8.478039,1.1451081128228872e-17,1.2661623990355925e-16
H2-Eb1,0.09102077489431014,8.380098,2.6441749224870658e-17,2.9029665106453744e-16
Pde4b,0.02997315235660688,8.302144,5.112456213812222e-17,5.5732973373107885e-16
Lsp1,0.042350692109080046,8.277808,6.27315512886113e-17,6.790800097536384e-16
Igfbp7,0.06116451054270196,8.216849,1.0445964221103743e-16,1.1229411537686525e-15
Pglyrp2,0.041643762514718546,8.182693,1.3878538226812348e-16,1.481653598283139e-15
Havcr2,0.032553012302809665,8.133175,2.090953002572884e-16,2.2169830465635785e-15
Ctla2b,0.03633277172538073,8.091918,2.9366225111063284e-16,3.0924432974099295e-15
Hmgn3,0.038509361916062634,8.090239,2.977398990470023e-16,3.114198403545673e-15
Ccr9,0.02780853700209135,8.032702,4.767436036039604e-16,4.953014083080072e-15
Pygl,0.0742407077027198,8.0043125,6.006796861613488e-16,6.199014361185119e-15
Vldlr,0.03354338240996372,7.9997177,6.235238624749211e-16,6.392151914643563e-15
Nkg7,0.06001221151335433,7.9597716,8.617854622262465e-16,8.776604575830457e-15
Epb4.1l4b,0.04001763169660062,7.94543,9.675930981625172e-16,9.789765463761939e-15
Ifi44,0.03352970389873154,7.8674107,1.8102832351123584e-15,1.819687303866189e-14
Arx,0.02877558319152722,7.826324,2.5117088987008484e-15,2.508467983992847e-14
Tyrobp,0.08887729718029176,7.790427,3.339150283197589e-15,3.313464511788377e-14
Irf8,0.06784788970572353,7.723455,5.660908708426678e-15,5.5815838730219725e-14
Gata3,0.027778187328682313,7.626444,1.2065897014335983e-14,1.182152441657728e-13
Ctss,0.06112930704302408,7.5706377,1.856982544911915e-14,1.8079301758010343e-13
Cd83,0.03158461454636289,7.5503945,2.169708368255671e-14,2.0991928462873618e-13
Cd52,0.09359265784905019,7.5385623,2.3759048342320496e-14,2.2844103623547907e-13
Ccnd2,0.051443058416668595,7.5182357,2.7760176179377317e-14,2.6526390571404993e-13
Spsb1,0.02693877411253054,7.501122,3.1636932526243974e-14,3.0045381319402253e-13
Hsd11b1,0.12662315122573478,7.4919457,3.392998821184068e-14,3.2026598629225225e-13
Pglyrp1,0.08837613521748376,7.4743323,3.879840627570016e-14,3.639995934229324e-13
Meis1,0.03849200729305114,7.4355836,5.205365379432818e-14,4.854160004434941e-13
Ccr1,0.09540918984062584,7.3963723,6.997762369250926e-14,6.486548591377505e-13
Homer2,0.04166479436101201,7.3926253,7.197884857556409e-14,6.632336761605549e-13
Fhl1,0.024620074724209462,7.378377,8.011538412865216e-14,7.338379563973582e-13
S100a10,0.05262886054679043,7.344336,1.0339150725054117e-13,9.414709013166925e-13
Socs1,0.04075534176761745,7.314809,1.288740191398835e-13,1.1666490153715768e-12
Ak4,0.03721724933974448,7.3109837,1.3259689450243523e-13,1.1933720505219172e-12
Epsti1,0.033698506574010134,7.289282,1.5580578016427709e-13,1.3941465184641672e-12
Socs3,0.042945272448710436,7.258479,1.9573340335486807e-13,1.7413523470881366e-12
Mmp8,0.13636092472753436,7.2090044,2.8181219959331223e-13,2.4928301998311276e-12
Fstl1,0.0331576310289382,7.1078463,5.893387335584109e-13,5.183502042888751e-12
Csf1r,0.07622304299402484,7.062825,8.157545300364654e-13,7.134395550827392e-12
Tfr2,0.0362811280641416,7.032257,1.0160945967795502e-12,8.836597954015414e-12
H2-Aa,0.07960268009116801,7.022253,1.0915934050515657e-12,9.440148553183373e-12
Vamp5,0.03670255996881843,6.9775534,1.5018236907731548e-12,1.291568374064913e-11
Plxnb2,0.041372574280954914,6.9297857,2.1073926011775613e-12,1.802344611393848e-11
Spint1,0.060477220541747645,6.804649,5.064799405080956e-12,4.307862351134791e-11
Ccl24,0.029224203448526023,6.7315207,8.394949749527115e-12,7.10130175533769e-11
I730030J21Rik,0.031012237931567984,6.722258,8.946482442557038e-12,7.526714576672987e-11
Epb4.1l3,0.025408733580290322,6.5365396,3.147924653977127e-11,2.6340472239765365e-10
Tox,0.03661528681085335,6.4687,4.942483332792222e-11,4.1134216124528816e-10
Vim,0.052732518153147105,6.432362,6.281800837310468e-11,5.200121762650591e-10
Il6st,0.053051654177563155,6.4298587,6.386131520210308e-11,5.258367868768913e-10
Parp9,0.030740599991904646,6.4109235,7.232039233684975e-11,5.923384515208646e-10
Fam65a,0.03569969038998465,6.341622,1.1367939486109744e-10,9.261879118156781e-10
Aqp1,0.021859747001454256,6.3092103,1.4023140520494715e-10,1.1365351584149642e-09
Csrp3,0.033915052393748944,6.2480173,2.0784780642451705e-10,1.6757729392976688e-09
Wfdc17,0.07468842561141673,6.206117,2.715484935764318e-10,2.178015896664852e-09
Rnf149,0.044732066565955554,6.195788,2.899708876158452e-10,2.313788319738806e-09
Ctr9,0.03662425433150784,6.178977,3.2259144102920187e-10,2.5608797472472023e-09
Psap,0.05907233753575027,6.125306,4.525470818742315e-10,3.5741983813332164e-09
Rassf4,0.055372391141782946,6.1201744,4.673649583057011e-10,3.6724921596813466e-09
Mpeg1,0.07398161348849897,6.115783,4.804193582578624e-10,3.756005891834197e-09
Dnmt3b,0.032313010667468035,6.1095924,4.994294450080448e-10,3.8850089491078056e-09
Prkcq,0.02743017029117765,6.046703,7.392002572469924e-10,5.721409991091722e-09
Tmem181c-ps,0.016563829388691904,6.036019,7.898140532509945e-10,6.0827470369778075e-09
Klf4,0.07705048776314077,5.989421,1.0529476657964083e-09,8.069123696301188e-09
Mn1,0.025391777273838158,5.9629517,1.2386086278614515e-09,9.415990574337296e-09
Ociad2,0.03171763902851701,5.962654,1.240866974912667e-09,9.415990574337296e-09
Gpr4,0.027685653568615465,5.9472866,1.3631191344379026e-09,1.0293211805414016e-08
Akr1c12,0.03379564039691088,5.9231615,1.579052017329286e-09,1.1865886033134635e-08
F13a1,0.13666589311293453,5.889332,1.9388009645580837e-09,1.4498859387130019e-08
Il1rl1,0.0352121983130383,5.8666034,2.2240649288630044e-09,1.6502220081065555e-08
Oasl2,0.028556089003325152,5.866309,2.2280129179216415e-09,1.6502220081065555e-08
Sema7a,0.03144934746351285,5.8448806,2.5346589879480175e-09,1.8684057682588246e-08
Selm,0.04034886243913628,5.804075,3.2361197211964636e-09,2.3741769328967418e-08
Aldoc,0.028191581407354994,5.7714415,3.929813223090885e-09,2.869505127049382e-08
Calcoco1,0.024851138649123316,5.76588,4.061639699336278e-09,2.9518395561373515e-08
Mfge8,0.02514681909277839,5.6948485,6.174074545108982e-09,4.455731549767871e-08
Ccl2,0.027815123729203924,5.69445,6.188516041344266e-09,4.455731549767871e-08
Lat2,0.03267811792238016,5.6855283,6.5204451252048156e-09,4.672985673063451e-08
Fam102a,0.023318207918673967,5.6488724,8.075184794376385e-09,5.7605465722095136e-08
Acss1,0.02442541560928637,5.63144,8.935549030558747e-09,6.345059586837129e-08
Fscn1,0.020358917624248685,5.6290545,9.060004682836731e-09,6.404058104580484e-08
Ffar2,0.029583414331128852,5.6076503,1.0254595565325854e-08,7.210149055094104e-08
Ero1l,0.0346563435057777,5.6069937,1.0293559051523237e-08,7.210149055094104e-08
Lpl,0.05836859983031476,5.6022177,1.0581327858254492e-08,7.378331317377456e-08
Col4a1,0.02691488762237356,5.5970607,1.0900820840461014e-08,7.567027202257242e-08
Ms4a6c,0.06130588354257611,5.59594,1.097147207897024e-08,7.582070883145505e-08
Ceacam1,0.07008124318889339,5.578805,1.2108829185192456e-08,8.330874479412409e-08
Rbpms,0.02680618764372354,5.5737796,1.2463554462795769e-08,8.536983322304358e-08
Usp18,0.025449136862332425,5.5376534,1.5327554016325276e-08,1.0452446527432391e-07
Tns1,0.022837244793958773,5.46119,2.364764700490126e-08,1.6055507703327697e-07
Gcnt2,0.032946505736459956,5.3809133,3.705445023107848e-08,2.504816111690371e-07
Crispld1,0.02248025567230239,5.3735538,3.859988854704735e-08,2.597940324818665e-07
Plod2,0.02291899776193582,5.36365,4.077846681822902e-08,2.7326868672995034e-07
Isg20,0.02620417341409646,5.281148,6.41884814977566e-08,4.282921093039966e-07
Lgmn,0.028498234151944843,5.2782803,6.520095925938023e-08,4.3318062203227725e-07
Eya2,0.017704601889743744,5.272863,6.715594571605761e-08,4.4426241012161195e-07
Lgals3,0.07787856689259834,5.211121,9.385144531320417e-08,6.182214355099577e-07
Naaa,0.06094366731424354,5.1987643,1.0030884602736808e-07,6.579580239422279e-07
Kit,0.03265830138560449,5.162628,1.2175326441588087e-07,7.952491701087915e-07
Ltb,0.02335232103133779,5.151253,1.2937576841077256e-07,8.414860903356131e-07
Ptprf,0.020497674723079302,5.131736,1.4354113859971566e-07,9.29714152938744e-07
Gp9,0.013161430247865837,5.1075263,1.63201836883459e-07,1.0526518478983107e-06
S100a6,0.04105408438406059,5.0662603,2.0285348641520463e-07,1.3029759210404016e-06
Nsg2,0.016414774397303423,5.064537,2.0469700878744383e-07,1.3093841719130704e-06
Cd28,0.026170896624439006,5.059172,2.105402890763585e-07,1.3412196193012467e-06
Raph1,0.02462461207444521,5.044908,2.2686976300446932e-07,1.4393212833234365e-06
Pld4,0.04875941007084161,5.0181036,2.6092017802108556e-07,1.6485895329658792e-06
Lmna,0.02112935118603098,4.992847,2.974784952350585e-07,1.8719378480645144e-06
Tmem98,0.02750951650682859,4.9892993,3.0299348433714233e-07,1.8989227277485682e-06
Ccl6,0.06750792543872469,4.9870596,3.065258001748223e-07,1.913314268833165e-06
Cd244,0.021065053521371058,4.9790177,3.1953893620150434e-07,1.986531217831039e-06
S100a8,0.15775773503409055,4.9317527,4.074752949220126e-07,2.523087026157102e-06
Mx1,0.020466252785205676,4.907482,4.612652489604483e-07,2.844775320281968e-06
Dusp10,0.018724247860639334,4.877774,5.364494085875585e-07,3.2953320813235736e-06
Bnip3,0.027148484383249603,4.8731384,5.491960090293177e-07,3.3602981105825448e-06
Ndrg2,0.029453619828795262,4.840073,6.489568629838533e-07,3.955059936610256e-06
Mirg,0.016989802160626517,4.805276,7.726911753426883e-07,4.6906899585509086e-06
Chi3l3,0.04260021959208324,4.779375,8.792044406905745e-07,5.316439352300818e-06
Pyhin1,0.06533209439465543,4.7581363,9.769429020360287e-07,5.884465417711177e-06
1700097N02Rik,0.022720395095861205,4.726197,1.1438199363474166e-06,6.8629196180845e-06
Rgs7bp,0.029872401298327658,4.6969833,1.320159906424195e-06,7.890376583570092e-06
Slc17a9,0.03542446993042181,4.6926413,1.3485009370842315e-06,8.028767117716886e-06
Ptprn,0.018231313356086555,4.6731167,1.4833155496737948e-06,8.797595673927334e-06
Sept8,0.022632052740169828,4.6598225,1.5824111676971488e-06,9.349513311432009e-06
Top2a,0.025707519108326807,4.647175,1.6825597189988316e-06,9.903431349848636e-06
Klf9,0.030591826792782856,4.6238785,1.8831528316724873e-06,1.1042123422079586e-05
Metrnl,0.023200787297559464,4.5672994,2.470240910316041e-06,1.4429935581770686e-05
Fam105a,0.03232782329358862,4.5035753,3.340983438603007e-06,1.9443016402095695e-05
Myl10,0.023504499515966053,4.4685235,3.938068008001259e-06,2.2831944855378086e-05
Rab27b,0.01821714432903355,4.4625144,4.050174144188806e-06,2.3394289459717432e-05
Klf2,0.02444790220117928,4.4572105,4.1516521761131794e-06,2.3891292076666176e-05
Mcpt8,0.03326077577243081,4.446745,4.359062867602799e-06,2.4991960440922714e-05
Ifi203,0.02359655821632551,4.4139643,5.0747358165032055e-06,2.896809389656969e-05
Aff3,0.01850161088825531,4.4133143,5.090000994746095e-06,2.896809389656969e-05
Pde2a,0.042068046114911,4.3927927,5.595190924333635e-06,3.1726577109408304e-05
Anxa1,0.045052622691522895,4.386712,5.753847988724883e-06,3.250714119177416e-05
Cldn11,0.015123135568162702,4.3562284,6.6161366021162185e-06,3.7242834400276026e-05
Samd14,0.024078169566203268,4.3439393,6.997509848947646e-06,3.9246903065836795e-05
Lilrb4,0.034760380156532496,4.3422956,7.050080783197261e-06,3.939900740934787e-05
Trim34a,0.018616085718277282,4.3407726,7.099129215844856e-06,3.953040297168287e-05
Bcl2,0.02305164940593385,4.319082,7.833985851549371e-06,4.346598601504813e-05
Olfml2b,0.07306051856451218,4.3138885,8.020391698254057e-06,4.4341308388918854e-05
Apln,0.023052972947372567,4.303668,8.399666696252733e-06,4.627289696013961e-05
Ddt,0.024366557656343636,4.26233,1.0115317080749236e-05,5.5526634187942616e-05
Slfn5,0.021249037643882147,4.2598486,1.0228271304368358e-05,5.594828261188063e-05
Xaf1,0.02118241908642546,4.2571683,1.0351625446279694e-05,5.642364855929918e-05
Ptp4a3,0.02354897586361962,4.2298107,1.1694401331761957e-05,6.351906407567547e-05
Syne1,0.061616728143274,4.2245474,1.1971073629490035e-05,6.479448244213487e-05
Saa3,0.09234226625340757,4.2201605,1.2206423305649642e-05,6.583812988552489e-05
Lax1,0.0171098191387051,4.21926,1.2255262478203594e-05,6.587203582034433e-05
Arhgap6,0.019799467089021958,4.213611,1.256599232918294e-05,6.730849870441243e-05
Cpt1c,0.01788044271626503,4.197278,1.3507111118616856e-05,7.210002762627204e-05
AI607873,0.041993010655601466,4.1922174,1.3812057233638101e-05,7.34744487892501e-05
Il17re,0.01422636579724389,4.1722374,1.5081156720843473e-05,7.995078973926608e-05
Myadm,0.030558653727193012,4.122446,1.8743520395395545e-05,9.902719990468363e-05
Crtap,0.023377611427042134,4.1117983,1.962946170881781e-05,0.00010335512491581622
Nhsl2,0.03191456970603156,4.0635257,2.416850115195994e-05,0.00012682318570587792
Tmem176a,0.02305720638214025,4.0482707,2.5798724661873357e-05,0.00013492035735331067
Foxo1,0.015670653862828787,4.0413246,2.6575062136741376e-05,0.000138512445076349
Prss34,0.025824320222103663,4.010022,3.0356524367784286e-05,0.00015769093866218147
Msra,0.03134754587597435,3.958003,3.778949739104062e-05,0.0001956459597368926
Tgfbi,0.06807720317909974,3.9568725,3.79687233932765e-05,0.00019591861270930674
Msi2,0.021142998328413896,3.9452803,3.985333990986744e-05,0.00020496003382217538
F7,0.04073590392299597,3.9267898,4.3043583361982995e-05,0.00022063399683559497
Tnfrsf1b,0.020868904259835497,3.9232962,4.3672825289133844e-05,0.00022311519720941427
Col18a1,0.01605368469220443,3.9225085,4.381590436153872e-05,0.00022311519720941427
Pf4,0.017390969898004486,3.913871,4.541407677126169e-05,0.0002304950519406987
Tst,0.026556279252201484,3.9081752,4.6497924711884625e-05,0.0002352247956012987
Esam,0.017905634680103737,3.869315,5.4570800061670005e-05,0.0002751648159461406
LOC100038947,0.04564736186870714,3.8366005,6.237456854566363e-05,0.00031349296139184185
Tec,0.02827816205079737,3.8288703,6.436641299289926e-05,0.00032245698159549536
Tmem108,0.018068304898415814,3.8166986,6.762462216867429e-05,0.0003376868229584122
Gadd45a,0.026751894218498537,3.8115153,6.905874371449708e-05,0.0003429008202348491
Ccr5,0.05726790540289117,3.8113256,6.91117932256285e-05,0.0003429008202348491
Kdm5b,0.01649751313039254,3.8103037,6.939809461511715e-05,0.00034322124748946116
Cd69,0.018922961847718873,3.7593293,8.518472998638952e-05,0.0004199552930539203
Dab2,0.024155422790740903,3.7144608,0.00010181869597229896,0.0005003661630638692
Tmem9,0.02090340022250699,3.684895,0.00011439845398594951,0.0005600716857079735
Fam212a,0.020727176916917212,3.684243,0.00011469168240919095,0.0005600716857079735
Il27ra,0.017772828311975058,3.676638,0.00011816406857113674,0.0005752137677613827
Fam43a,0.019161171418584495,3.6756625,0.00011861648107771219,0.000575605995950779
Mpl,0.016257663759380224,3.6582487,0.00012697230258274227,0.0006142285137440157
Vcl,0.023296905628764422,3.6547763,0.0001287031419063865,0.0006206618805952844
Gbp2,0.0190012301666861,3.6424332,0.0001350365552451456,0.0006491819488182776
Cd59a,0.009047207595149728,3.6361299,0.00013838242612226602,0.0006632074168336465
Il6,0.016333325408956954,3.6262298,0.00014379474301668056,0.0006870193277463626
AB124611,0.03721947733254576,3.6253262,0.0001442984920205134,0.0006873048173777069
Fam198b,0.025027709569437267,3.6184776,0.0001481705814293677,0.0007035830062965067
Zdhhc15,0.017876244162093526,3.593003,0.00016344438978379777,0.0007737367442976115
Cyp4f16,0.02553081169446524,3.5782726,0.0001729363174029254,0.0008161750589625869
