Gene,C,Z,Pval,FDR
Tbxa2r,0.07889003138761977,21.540804,3.22882040072215e-103,4.671228018988681e-102
Id2,0.09395094920027808,21.536598,3.53564836231414e-103,5.067762652650267e-102
Slc22a3,0.10942619889296169,21.469217,1.5103133621404464e-102,2.1449220959572577e-101
Fam65a,0.1143055713970115,21.32638,3.230985336416607e-101,4.546877546157189e-100
Cd74,0.22122992694111196,21.208134,4.016887972676729e-100,5.601930253787006e-99
Slfn5,0.09555844652482635,20.936954,1.2336774624712587e-97,1.7051184927727756e-96
Pyhin1,0.30773595646907254,20.93364,1.3225438838931674e-97,1.8117680816518787e-96
Hmga2,0.07581887181508265,20.884825,3.678704102178115e-97,4.995292938747124e-96
Cxcl10,0.09877839379092065,20.72775,9.733919793520094e-96,1.3102702469886178e-94
Lipg,0.2617848947539456,20.672935,3.03545934086097e-95,4.050768154873087e-94
Hdc,0.19043583532311464,20.620522,8.98059371432829e-95,1.1882016298957432e-93
Lcn2,0.27480142412785874,20.552763,3.6352510619915724e-94,4.768956477934707e-93
Csf2rb,0.1471207143507212,20.48247,1.5430431768825693e-93,2.007252804885897e-92
Bcl2,0.10361852863729613,20.406778,7.278464369933076e-93,9.389219037213669e-92
Rab38,0.10571968328500929,20.195107,5.404673964795906e-91,6.914409336780216e-90
Tgm2,0.07507072876883375,20.067577,7.087380711856046e-90,8.992840444223902e-89
Psap,0.19937442635833677,20.055817,8.978555588899299e-90,1.1299840692370825e-88
Klf4,0.2780362427878223,19.960346,6.093252991971874e-89,7.606738412558438e-88
Tyrobp,0.22831371221525726,19.845913,5.976878423764449e-88,7.401766239989894e-87
Satb1,0.09404087577413302,19.819778,1.0049580344139812e-87,1.2346627279943197e-86
S100a6,0.16382237151518614,19.66397,2.194918727929915e-86,2.675381252626385e-85
Tgfbi,0.34478024821231257,19.61054,6.284469804629591e-86,7.600280669973911e-85
Tnfsf10,0.06179568006327331,19.344732,1.1288685439899087e-83,1.3546422527878906e-82
Nrgn,0.09126572506730976,19.337843,1.2902279800375601e-83,1.5363637793062638e-82
Cebpe,0.2657887727528123,19.261385,5.665351965803959e-83,6.694629651194296e-82
Slc14a1,0.054077266317477335,19.22234,1.2033474783031561e-82,1.4111984063737012e-81
Tox,0.11520554746780635,19.118711,8.820601684603164e-82,1.0266384517117065e-80
F13a1,0.36776043751236626,19.01531,6.369048696204627e-81,7.357677150540868e-80
Gpr171,0.0841250345538459,18.546762,4.330716910672446e-77,4.965888724237738e-76
Tspan13,0.08327382708706749,18.545084,4.468048774116545e-77,5.085690810538538e-76
Csf1r,0.19758359696539918,18.255156,9.413690110430152e-75,1.0636782694121076e-73
Lilrb3,0.2795210229119682,18.202536,2.4636650497554817e-74,2.7635894905952794e-73
Ak4,0.0834556142796129,18.043625,4.427048813038302e-73,4.930267311211001e-72
Trp53i11,0.06595614258513462,17.978733,1.4297608226926612e-72,1.5809069668058853e-71
Fchsd2,0.06099019456465407,17.934269,3.184795629474531e-72,3.496499031508209e-71
AI607873,0.18366425432670452,17.628595,7.430671674978244e-70,8.100478699201634e-69
Epsti1,0.07644792457468653,17.589676,1.4778157756986812e-69,1.5997614131339568e-68
Nkg7,0.13140882585457386,17.527405,4.4259235055383166e-69,4.75786776845369e-68
F7,0.17839585536113317,17.285625,3.018151196628196e-67,3.2221365878485844e-66
