Tph1
Gzmb
Igfbp5
Ms4a2
Cma1
Il1rl1
Fcer1a
Avil
Basp1
Ddc
Tpsb2
Kit
Car8
Ptprg
Cobl
Prkcb
Atp8b5
Fam198b
Id2
Maob
Papss2
Fam105a
Ptms
Gnai1
Hs6st2
Ndst2
Slc45a3
Hes1
Gch1
Anpep
Slco2b1
Akap2
Tpsg1
Rprm
Creb3l1
Vwa5a
Vegfc
Kcne3
