Gm15915
Car2
Podxl
Gmpr
Scin
Spns2
Prnp
Alox5
F2r
Slc18a2
Ptp4a3
Cda
Nlrp6
Cpox
Zfpm1
Samd14
Klf1
Gata1
Ces2g
Acss1
Ctla2a
Sept8
Vamp5
