"","Monocyte","Neutrophil","Undifferentiated","Other","Monocyte_proportion","Neutrophil_proportion","Undifferentiated_proportion","Other_proportion","lineage_size","entropy"
"Lineage_1179",0,0,4,2,0,0,0.666666666666667,0.333333333333333,6,NA
"Lineage_118",0,9,1,0,0,0.9,0.1,0,10,0.286396957115956
"Lineage_1180",0,0,0,33,0,0,0,1,33,NA
"Lineage_1181",7,0,0,0,1,0,0,0,7,0
"Lineage_1182",3,0,0,0,1,0,0,0,3,0
"Lineage_1183",10,0,2,0,0.833333333333333,0,0.166666666666667,0,12,0.413816850303634
"Lineage_1184",0,0,11,51,0,0,0.17741935483871,0.82258064516129,62,NA
"Lineage_1185",0,0,11,0,0,0,1,0,11,1
"Lineage_1188",0,0,0,6,0,0,0,1,6,NA
"Lineage_1190",12,0,0,0,1,0,0,0,12,0
"Lineage_1192",0,0,20,0,0,0,1,0,20,1
"Lineage_1196",0,0,9,0,0,0,1,0,9,1
"Lineage_1198",3,0,0,0,1,0,0,0,3,0
"Lineage_1199",0,8,3,0,0,0.727272727272727,0.272727272727273,0,11,0.574635697837679
"Lineage_12",0,0,1,0,0,0,1,0,1,1
"Lineage_120",0,0,18,0,0,0,1,0,18,1
"Lineage_1202",6,0,9,0,0.4,0,0.6,0,15,0.881290899230693
"Lineage_1205",0,0,2,0,0,0,1,0,2,1
"Lineage_1206",1,0,0,0,1,0,0,0,1,0
"Lineage_1207",0,4,11,0,0,0.266666666666667,0.733333333333333,0,15,0.948078243593905
"Lineage_1212",0,22,0,1,0,0.956521739130435,0,0.0434782608695652,23,NA
"Lineage_1213",0,0,6,0,0,0,1,0,6,1
"Lineage_1214",0,0,2,0,0,0,1,0,2,1
"Lineage_1216",0,0,12,3,0,0,0.8,0.2,15,NA
"Lineage_1219",12,11,5,0,0.428571428571429,0.392857142857143,0.178571428571429,0,28,0.999079718180582
"Lineage_122",13,0,6,0,0.684210526315789,0,0.315789473684211,0,19,0.629249223856035
"Lineage_1220",0,0,5,0,0,0,1,0,5,1
"Lineage_1223",0,0,9,0,0,0,1,0,9,1
"Lineage_123",11,0,3,6,0.55,0,0.15,0.3,20,NA
"Lineage_1230",0,0,0,5,0,0,0,1,5,NA
"Lineage_1231",2,2,1,0,0.4,0.4,0.2,0,5,1
"Lineage_1234",0,0,4,13,0,0,0.235294117647059,0.764705882352941,17,NA
"Lineage_1237",2,1,13,0,0.125,0.0625,0.8125,0,16,0.997180398894264
"Lineage_1238",6,3,5,0,0.428571428571429,0.214285714285714,0.357142857142857,0,14,0.966618632548103
"Lineage_124",0,3,4,0,0,0.428571428571429,0.571428571428571,0,7,0.863120568566631
"Lineage_1240",7,0,0,0,1,0,0,0,7,0
"Lineage_1241",0,3,0,0,0,1,0,0,3,0
"Lineage_1242",0,0,0,10,0,0,0,1,10,NA
"Lineage_1243",0,7,1,0,0,0.875,0.125,0,8,0.337290066617014
"Lineage_1247",0,0,2,3,0,0,0.4,0.6,5,NA
"Lineage_1248",0,0,1,0,0,0,1,0,1,1
"Lineage_125",0,14,1,0,0,0.933333333333333,0.0666666666666667,0,15,0.210842300318532
"Lineage_1250",0,0,7,0,0,0,1,0,7,1
"Lineage_1252",1,4,1,0,0.166666666666667,0.666666666666667,0.166666666666667,0,6,0.811278124459133
"Lineage_1253",0,2,3,0,0,0.4,0.6,0,5,0.881290899230693
"Lineage_1255",0,2,0,0,0,1,0,0,2,0
"Lineage_1258",0,0,0,22,0,0,0,1,22,NA
"Lineage_1260",0,0,14,14,0,0,0.5,0.5,28,NA
"Lineage_1261",30,105,21,1,0.191082802547771,0.668789808917197,0.133757961783439,0.00636942675159236,157,NA
"Lineage_1262",1,1,2,0,0.25,0.25,0.5,0,4,1
"Lineage_1266",0,17,0,0,0,1,0,0,17,0
"Lineage_1270",0,0,4,0,0,0,1,0,4,1
"Lineage_1271",0,0,4,0,0,0,1,0,4,1
"Lineage_1274",0,0,1,0,0,0,1,0,1,1
"Lineage_1275",0,0,0,12,0,0,0,1,12,NA
"Lineage_1277",0,1,3,0,0,0.25,0.75,0,4,0.954434002924965
"Lineage_1278",4,0,0,0,1,0,0,0,4,0
"Lineage_1280",1,0,6,0,0.142857142857143,0,0.857142857142857,0,7,0.985228136034252
"Lineage_1284",0,7,1,0,0,0.875,0.125,0,8,0.337290066617014
"Lineage_1289",0,2,0,0,0,1,0,0,2,0
"Lineage_129",11,0,3,0,0.785714285714286,0,0.214285714285714,0,14,0.491237341824333
"Lineage_1292",1,0,0,0,1,0,0,0,1,0
"Lineage_1293",0,0,0,6,0,0,0,1,6,NA
"Lineage_1294",2,1,1,0,0.5,0.25,0.25,0,4,0.954434002924965
"Lineage_1296",0,0,18,4,0,0,0.818181818181818,0.181818181818182,22,NA
"Lineage_1298",0,0,6,0,0,0,1,0,6,1
"Lineage_1299",0,0,1,5,0,0,0.166666666666667,0.833333333333333,6,NA
"Lineage_130",0,2,1,0,0,0.666666666666667,0.333333333333333,0,3,0.650022421648354
"Lineage_1300",4,0,0,0,1,0,0,0,4,0
"Lineage_1301",10,0,21,0,0.32258064516129,0,0.67741935483871,0,31,0.923578599617595
"Lineage_1302",0,0,0,7,0,0,0,1,7,NA
"Lineage_1305",0,0,27,1,0,0,0.964285714285714,0.0357142857142857,28,NA
"Lineage_1311",0,0,3,0,0,0,1,0,3,1
"Lineage_1317",3,0,0,1,0.75,0,0,0.25,4,NA
"Lineage_1318",0,0,17,0,0,0,1,0,17,1
"Lineage_1319",0,1,3,1,0,0.2,0.6,0.2,5,NA
"Lineage_132",4,0,0,0,1,0,0,0,4,0
"Lineage_1320",0,2,6,0,0,0.25,0.75,0,8,0.954434002924965
"Lineage_1325",0,0,3,67,0,0,0.0428571428571429,0.957142857142857,70,NA
"Lineage_1326",0,0,1,5,0,0,0.166666666666667,0.833333333333333,6,NA
"Lineage_1327",0,1,5,0,0,0.166666666666667,0.833333333333333,0,6,0.979868756651153
"Lineage_1329",0,5,0,0,0,1,0,0,5,0
"Lineage_1333",1,0,3,0,0.25,0,0.75,0,4,0.954434002924965
"Lineage_1335",4,0,0,0,1,0,0,0,4,0
"Lineage_1336",0,5,0,0,0,1,0,0,5,0
"Lineage_1337",0,0,6,0,0,0,1,0,6,1
"Lineage_1339",0,6,0,2,0,0.75,0,0.25,8,NA
"Lineage_134",6,0,0,0,1,0,0,0,6,0
"Lineage_1340",2,0,0,8,0.2,0,0,0.8,10,NA
"Lineage_1343",0,0,0,7,0,0,0,1,7,NA
"Lineage_1348",1,2,0,0,0.333333333333333,0.666666666666667,0,0,3,0.91829583405449
"Lineage_1349",0,0,0,4,0,0,0,1,4,NA
"Lineage_135",0,5,0,0,0,1,0,0,5,0
"Lineage_1350",0,0,7,1,0,0,0.875,0.125,8,NA
"Lineage_1351",0,5,1,0,0,0.833333333333333,0.166666666666667,0,6,0.413816850303634
"Lineage_1353",0,0,0,9,0,0,0,1,9,NA
"Lineage_1354",0,0,24,0,0,0,1,0,24,1
"Lineage_1357",0,0,5,0,0,0,1,0,5,1
"Lineage_1358",0,0,10,0,0,0,1,0,10,1
"Lineage_1359",0,0,0,1,0,0,0,1,1,NA
"Lineage_136",0,1,3,0,0,0.25,0.75,0,4,0.954434002924965
"Lineage_1360",0,0,0,1,0,0,0,1,1,NA
"Lineage_1362",3,0,0,0,1,0,0,0,3,0
"Lineage_1363",6,0,1,0,0.857142857142857,0,0.142857142857143,0,7,0.371232326640876
"Lineage_1365",0,2,9,0,0,0.181818181818182,0.818181818181818,0,11,0.976020648236615
"Lineage_1368",0,3,0,0,0,1,0,0,3,0
"Lineage_1369",0,0,0,6,0,0,0,1,6,NA
"Lineage_1370",0,0,0,19,0,0,0,1,19,NA
"Lineage_1371",0,0,5,0,0,0,1,0,5,1
"Lineage_1376",0,0,1,4,0,0,0.2,0.8,5,NA
"Lineage_1379",0,0,0,2,0,0,0,1,2,NA
"Lineage_138",0,0,0,2,0,0,0,1,2,NA
"Lineage_1380",0,7,0,0,0,1,0,0,7,0
"Lineage_1381",0,0,3,0,0,0,1,0,3,1
"Lineage_1384",0,0,2,0,0,0,1,0,2,1
"Lineage_1385",0,3,0,0,0,1,0,0,3,0
"Lineage_1388",0,0,27,0,0,0,1,0,27,1
"Lineage_1390",0,3,1,0,0,0.75,0.25,0,4,0.543564443199596
"Lineage_1392",0,4,8,0,0,0.333333333333333,0.666666666666667,0,12,0.91829583405449
"Lineage_1394",10,1,1,0,0.833333333333333,0.0833333333333333,0.0833333333333333,0,12,0.543564443199596
"Lineage_1395",1,0,12,0,0.0769230769230769,0,0.923076923076923,0,13,0.995727452084926
"Lineage_1399",9,0,0,0,1,0,0,0,9,0
"Lineage_140",0,2,0,0,0,1,0,0,2,0
"Lineage_1404",26,0,1,0,0.962962962962963,0,0.037037037037037,0,27,0.133039648610699
"Lineage_1405",0,0,0,3,0,0,0,1,3,NA
"Lineage_1407",26,0,0,0,1,0,0,0,26,0
"Lineage_1409",0,0,8,0,0,0,1,0,8,1
"Lineage_141",22,0,5,0,0.814814814814815,0,0.185185185185185,0,27,0.445064857050839
"Lineage_1410",7,0,0,0,1,0,0,0,7,0
"Lineage_1411",0,0,4,0,0,0,1,0,4,1
"Lineage_1416",0,8,0,0,0,1,0,0,8,0
"Lineage_142",0,0,3,0,0,0,1,0,3,1
"Lineage_1422",0,0,2,0,0,0,1,0,2,1
"Lineage_1423",0,0,11,1,0,0,0.916666666666667,0.0833333333333333,12,NA
"Lineage_1427",0,1,0,0,0,1,0,0,1,0
"Lineage_1428",19,0,1,0,0.95,0,0.05,0,20,0.16866093149667
"Lineage_143",0,0,11,0,0,0,1,0,11,1
"Lineage_1430",0,0,12,0,0,0,1,0,12,1
"Lineage_1432",0,0,26,0,0,0,1,0,26,1
"Lineage_1438",1,3,1,0,0.2,0.6,0.2,0,5,0.881290899230693
"Lineage_1439",3,0,2,0,0.6,0,0.4,0,5,0.721928094887362
"Lineage_1440",0,0,18,0,0,0,1,0,18,1
"Lineage_1441",0,2,9,11,0,0.0909090909090909,0.409090909090909,0.5,22,NA
"Lineage_1444",0,0,1,0,0,0,1,0,1,1
"Lineage_1445",0,0,6,0,0,0,1,0,6,1
"Lineage_1448",25,4,7,0,0.694444444444444,0.111111111111111,0.194444444444444,0,36,0.738284866143451
"Lineage_1450",3,3,0,0,0.5,0.5,0,0,6,1
"Lineage_1451",9,0,1,0,0.9,0,0.1,0,10,0.286396957115956
"Lineage_1452",0,1,2,0,0,0.333333333333333,0.666666666666667,0,3,0.91829583405449
"Lineage_1453",11,1,3,0,0.733333333333333,0.0666666666666667,0.2,0,15,0.650022421648354
"Lineage_1454",0,29,0,0,0,1,0,0,29,0
"Lineage_1456",1,0,0,0,1,0,0,0,1,0
"Lineage_146",15,0,0,0,1,0,0,0,15,0
"Lineage_1461",23,0,14,0,0.621621621621622,0,0.378378378378378,0,37,0.699772221773307
"Lineage_1462",9,0,3,0,0.75,0,0.25,0,12,0.543564443199596
"Lineage_1466",2,4,1,0,0.285714285714286,0.571428571428571,0.142857142857143,0,7,0.940285958670631
"Lineage_147",0,3,0,0,0,1,0,0,3,0
"Lineage_1470",0,0,0,3,0,0,0,1,3,NA
"Lineage_1475",7,0,0,0,1,0,0,0,7,0
"Lineage_1476",0,2,0,0,0,1,0,0,2,0
"Lineage_1477",5,0,6,0,0.454545454545455,0,0.545454545454545,0,11,0.845350936622436
"Lineage_1479",0,0,11,6,0,0,0.647058823529412,0.352941176470588,17,NA
"Lineage_1484",0,10,0,0,0,1,0,0,10,0
"Lineage_1487",3,5,1,0,0.333333333333333,0.555555555555556,0.111111111111111,0,9,0.964078764808229
"Lineage_1488",0,0,8,0,0,0,1,0,8,1
"Lineage_1489",0,2,0,0,0,1,0,0,2,0
"Lineage_149",0,0,5,0,0,0,1,0,5,1
"Lineage_1493",8,9,8,0,0.32,0.36,0.32,0,25,0.998845535995202
"Lineage_1496",0,0,8,0,0,0,1,0,8,1
"Lineage_1499",0,0,3,1,0,0,0.75,0.25,4,NA
"Lineage_15",0,0,5,13,0,0,0.277777777777778,0.722222222222222,18,NA
"Lineage_1502",0,0,4,0,0,0,1,0,4,1
"Lineage_1503",0,0,1,2,0,0,0.333333333333333,0.666666666666667,3,NA
"Lineage_1505",0,0,14,0,0,0,1,0,14,1
"Lineage_1507",1,0,0,0,1,0,0,0,1,0
"Lineage_151",8,8,1,0,0.470588235294118,0.470588235294118,0.0588235294117647,0,17,1
"Lineage_1512",0,0,9,0,0,0,1,0,9,1
"Lineage_1513",0,0,2,0,0,0,1,0,2,1
"Lineage_1514",19,0,6,0,0.76,0,0.24,0,25,0.529360865287364
"Lineage_1518",0,0,3,55,0,0,0.0517241379310345,0.948275862068966,58,NA
"Lineage_1519",14,0,3,0,0.823529411764706,0,0.176470588235294,0,17,0.430551867010439
"Lineage_152",2,1,2,0,0.4,0.2,0.4,0,5,0.970950594454669
"Lineage_1520",0,1,0,0,0,1,0,0,1,0
"Lineage_1522",0,0,8,0,0,0,1,0,8,1
"Lineage_1523",0,0,3,0,0,0,1,0,3,1
"Lineage_1527",0,1,0,0,0,1,0,0,1,0
"Lineage_1528",1,0,5,14,0.05,0,0.25,0.7,20,NA
"Lineage_1529",3,0,1,0,0.75,0,0.25,0,4,0.543564443199596
"Lineage_153",0,0,0,4,0,0,0,1,4,NA
"Lineage_1531",0,0,3,4,0,0,0.428571428571429,0.571428571428571,7,NA
"Lineage_1532",0,0,0,23,0,0,0,1,23,NA
"Lineage_154",0,4,0,0,0,1,0,0,4,0
"Lineage_1541",0,7,0,0,0,1,0,0,7,0
"Lineage_1543",0,0,17,0,0,0,1,0,17,1
"Lineage_1544",4,0,0,0,1,0,0,0,4,0
"Lineage_1545",0,1,0,0,0,1,0,0,1,0
"Lineage_1547",0,0,17,0,0,0,1,0,17,1
"Lineage_1548",2,0,0,0,1,0,0,0,2,0
"Lineage_155",1,3,6,1,0.0909090909090909,0.272727272727273,0.545454545454545,0.0909090909090909,11,NA
"Lineage_1551",9,0,2,0,0.818181818181818,0,0.181818181818182,0,11,0.439496986921513
"Lineage_1552",1,0,12,0,0.0769230769230769,0,0.923076923076923,0,13,0.995727452084926
"Lineage_1554",4,0,0,0,1,0,0,0,4,0
"Lineage_1555",6,0,0,0,1,0,0,0,6,0
"Lineage_1557",0,3,0,9,0,0.25,0,0.75,12,NA
"Lineage_1559",1,0,0,1,0.5,0,0,0.5,2,NA
"Lineage_1562",22,0,1,0,0.956521739130435,0,0.0434782608695652,0,23,0.151096970517114
"Lineage_1563",5,0,0,0,1,0,0,0,5,0
"Lineage_1564",4,0,1,0,0.8,0,0.2,0,5,0.468995593589281
"Lineage_1565",0,0,3,6,0,0,0.333333333333333,0.666666666666667,9,NA
"Lineage_1566",0,5,0,0,0,1,0,0,5,0
"Lineage_1568",0,0,5,0,0,0,1,0,5,1
"Lineage_157",0,0,5,0,0,0,1,0,5,1
"Lineage_1570",0,0,5,0,0,0,1,0,5,1
"Lineage_1572",0,4,1,0,0,0.8,0.2,0,5,0.468995593589281
"Lineage_1574",0,0,4,0,0,0,1,0,4,1
"Lineage_1577",0,0,0,6,0,0,0,1,6,NA
"Lineage_1578",0,10,4,0,0,0.714285714285714,0.285714285714286,0,14,0.591672778582327
"Lineage_1579",1,0,9,0,0.1,0,0.9,0,10,0.992774453987808
"Lineage_1581",0,0,1,2,0,0,0.333333333333333,0.666666666666667,3,NA
"Lineage_1582",0,7,1,0,0,0.875,0.125,0,8,0.337290066617014
"Lineage_1587",12,0,8,1,0.571428571428571,0,0.380952380952381,0.0476190476190476,21,NA
"Lineage_1589",0,0,1,7,0,0,0.125,0.875,8,NA
"Lineage_159",0,1,3,0,0,0.25,0.75,0,4,0.954434002924965
"Lineage_1592",22,4,33,0,0.372881355932203,0.0677966101694915,0.559322033898305,0,59,0.931776983066512
"Lineage_1595",0,4,0,0,0,1,0,0,4,0
"Lineage_1596",0,0,1,1,0,0,0.5,0.5,2,NA
"Lineage_1597",22,0,3,0,0.88,0,0.12,0,25,0.327444919154476
"Lineage_1598",0,0,1,2,0,0,0.333333333333333,0.666666666666667,3,NA
"Lineage_1599",3,0,0,0,1,0,0,0,3,0
"Lineage_1601",0,0,1,0,0,0,1,0,1,1
"Lineage_1605",0,6,8,0,0,0.428571428571429,0.571428571428571,0,14,0.863120568566631
"Lineage_1607",2,0,2,0,0.5,0,0.5,0,4,0.811278124459133
"Lineage_1608",13,0,3,0,0.8125,0,0.1875,0,16,0.448864488723029
"Lineage_1611",0,0,0,5,0,0,0,1,5,NA
"Lineage_1614",0,0,2,2,0,0,0.5,0.5,4,NA
"Lineage_1617",0,0,1,0,0,0,1,0,1,1
"Lineage_1618",0,0,5,0,0,0,1,0,5,1
"Lineage_1619",0,0,8,0,0,0,1,0,8,1
"Lineage_1623",0,0,4,22,0,0,0.153846153846154,0.846153846153846,26,NA
"Lineage_1624",0,0,2,0,0,0,1,0,2,1
"Lineage_1625",0,0,1,12,0,0,0.0769230769230769,0.923076923076923,13,NA
"Lineage_1626",1,0,0,0,1,0,0,0,1,0
"Lineage_163",10,13,7,0,0.333333333333333,0.433333333333333,0.233333333333333,0,30,0.992774453987808
"Lineage_1631",0,0,14,7,0,0,0.666666666666667,0.333333333333333,21,NA
"Lineage_1633",7,0,11,0,0.388888888888889,0,0.611111111111111,0,18,0.887976319515135
"Lineage_1634",0,0,3,0,0,0,1,0,3,1
"Lineage_1643",0,0,9,0,0,0,1,0,9,1
"Lineage_1648",0,2,0,2,0,0.5,0,0.5,4,NA
"Lineage_1649",0,0,13,0,0,0,1,0,13,1
"Lineage_1652",0,2,6,0,0,0.25,0.75,0,8,0.954434002924965
"Lineage_1653",6,2,9,0,0.352941176470588,0.117647058823529,0.529411764705882,0,17,0.959686893774217
"Lineage_1654",0,0,4,3,0,0,0.571428571428571,0.428571428571429,7,NA
"Lineage_1656",0,0,3,0,0,0,1,0,3,1
"Lineage_1657",0,0,0,10,0,0,0,1,10,NA
"Lineage_1660",0,0,3,0,0,0,1,0,3,1
"Lineage_1667",13,1,2,0,0.8125,0.0625,0.125,0,16,0.543564443199596
"Lineage_1674",0,0,17,0,0,0,1,0,17,1
"Lineage_1675",11,2,0,0,0.846153846153846,0.153846153846154,0,0,13,0.619382194678764
"Lineage_1676",10,0,1,0,0.909090909090909,0,0.0909090909090909,0,11,0.266764987803026
"Lineage_168",13,0,0,0,1,0,0,0,13,0
"Lineage_1682",0,0,4,0,0,0,1,0,4,1
"Lineage_1683",7,9,10,9,0.2,0.257142857142857,0.285714285714286,0.257142857142857,35,NA
"Lineage_1685",0,0,8,0,0,0,1,0,8,1
"Lineage_1689",0,4,7,0,0,0.363636363636364,0.636363636363636,0,11,0.902393282794979
"Lineage_1690",0,0,0,5,0,0,0,1,5,NA
"Lineage_1691",0,21,0,0,0,1,0,0,21,0
"Lineage_1692",0,5,0,0,0,1,0,0,5,0
"Lineage_1696",0,0,2,2,0,0,0.5,0.5,4,NA
"Lineage_1697",0,1,4,0,0,0.2,0.8,0,5,0.970950594454669
"Lineage_1699",0,0,3,1,0,0,0.75,0.25,4,NA
"Lineage_17",0,0,0,22,0,0,0,1,22,NA
"Lineage_170",0,0,11,0,0,0,1,0,11,1
"Lineage_1700",4,4,1,0,0.444444444444444,0.444444444444444,0.111111111111111,0,9,1
"Lineage_1706",0,0,14,2,0,0,0.875,0.125,16,NA
"Lineage_1707",0,0,2,2,0,0,0.5,0.5,4,NA
"Lineage_1712",0,0,19,28,0,0,0.404255319148936,0.595744680851064,47,NA
"Lineage_1715",26,0,0,0,1,0,0,0,26,0
"Lineage_1719",0,1,0,1,0,0.5,0,0.5,2,NA
"Lineage_172",0,0,4,0,0,0,1,0,4,1
"Lineage_1722",0,1,0,0,0,1,0,0,1,0
"Lineage_1723",23,0,2,0,0.92,0,0.08,0,25,0.242292189082415
"Lineage_1725",12,1,1,0,0.857142857142857,0.0714285714285714,0.0714285714285714,0,14,0.491237341824333
"Lineage_1734",4,0,0,0,1,0,0,0,4,0
"Lineage_1735",0,0,12,1,0,0,0.923076923076923,0.0769230769230769,13,NA
"Lineage_1736",1,1,0,0,0.5,0.5,0,0,2,1
"Lineage_1737",0,0,0,6,0,0,0,1,6,NA
"Lineage_1739",0,2,2,0,0,0.5,0.5,0,4,0.811278124459133
"Lineage_174",0,0,1,1,0,0,0.5,0.5,2,NA
"Lineage_1740",0,0,0,3,0,0,0,1,3,NA
"Lineage_1741",0,0,4,1,0,0,0.8,0.2,5,NA
"Lineage_1745",0,0,0,8,0,0,0,1,8,NA
"Lineage_1746",2,0,3,0,0.4,0,0.6,0,5,0.881290899230693
"Lineage_1747",0,1,4,0,0,0.2,0.8,0,5,0.970950594454669
"Lineage_1748",0,0,8,0,0,0,1,0,8,1
"Lineage_1749",0,0,7,3,0,0,0.7,0.3,10,NA
"Lineage_1753",0,0,9,0,0,0,1,0,9,1
"Lineage_1758",11,0,6,0,0.647058823529412,0,0.352941176470588,0,17,0.672294817075638
"Lineage_1761",0,0,2,0,0,0,1,0,2,1
"Lineage_1764",0,3,1,0,0,0.75,0.25,0,4,0.543564443199596
"Lineage_1766",8,0,1,0,0.888888888888889,0,0.111111111111111,0,9,0.309543429150325
"Lineage_177",0,2,2,0,0,0.5,0.5,0,4,0.811278124459133
"Lineage_1775",0,8,0,0,0,1,0,0,8,0
"Lineage_1777",0,0,2,5,0,0,0.285714285714286,0.714285714285714,7,NA
"Lineage_1780",0,0,4,0,0,0,1,0,4,1
"Lineage_1782",0,1,0,0,0,1,0,0,1,0
"Lineage_1784",0,0,3,9,0,0,0.25,0.75,12,NA
"Lineage_1786",5,0,5,0,0.5,0,0.5,0,10,0.811278124459133
"Lineage_1790",1,1,2,0,0.25,0.25,0.5,0,4,1
"Lineage_1792",1,0,0,0,1,0,0,0,1,0
"Lineage_1794",2,0,0,0,1,0,0,0,2,0
"Lineage_1797",0,0,0,2,0,0,0,1,2,NA
"Lineage_18",5,0,13,0,0.277777777777778,0,0.722222222222222,0,18,0.943601631299382
"Lineage_180",4,0,1,0,0.8,0,0.2,0,5,0.468995593589281
"Lineage_1800",0,0,12,0,0,0,1,0,12,1
"Lineage_1803",0,0,0,2,0,0,0,1,2,NA
"Lineage_1805",0,0,5,0,0,0,1,0,5,1
"Lineage_1806",0,3,0,0,0,1,0,0,3,0
"Lineage_1807",1,0,0,0,1,0,0,0,1,0
"Lineage_1808",9,1,1,0,0.818181818181818,0.0909090909090909,0.0909090909090909,0,11,0.574635697837679
"Lineage_1809",2,0,11,0,0.153846153846154,0,0.846153846153846,0,13,0.982858689712706
"Lineage_181",0,0,5,0,0,0,1,0,5,1
"Lineage_1810",0,0,6,0,0,0,1,0,6,1
"Lineage_1811",1,0,7,0,0.125,0,0.875,0,8,0.988699408288497
"Lineage_1812",4,0,0,0,1,0,0,0,4,0
"Lineage_1813",0,0,0,8,0,0,0,1,8,NA
"Lineage_1817",0,0,7,0,0,0,1,0,7,1
"Lineage_182",0,0,2,0,0,0,1,0,2,1
"Lineage_1821",0,0,8,0,0,0,1,0,8,1
"Lineage_1822",0,2,1,0,0,0.666666666666667,0.333333333333333,0,3,0.650022421648354
"Lineage_1823",0,1,0,0,0,1,0,0,1,0
"Lineage_1827",0,4,0,0,0,1,0,0,4,0
"Lineage_1828",0,5,1,0,0,0.833333333333333,0.166666666666667,0,6,0.413816850303634
"Lineage_1829",1,0,1,0,0.5,0,0.5,0,2,0.811278124459133
"Lineage_1832",0,0,4,0,0,0,1,0,4,1
"Lineage_1833",7,0,2,0,0.777777777777778,0,0.222222222222222,0,9,0.503258334775646
"Lineage_1836",7,1,0,0,0.875,0.125,0,0,8,0.543564443199596
"Lineage_1838",0,0,5,0,0,0,1,0,5,1
"Lineage_1839",0,2,0,0,0,1,0,0,2,0
"Lineage_1840",1,0,1,10,0.0833333333333333,0,0.0833333333333333,0.833333333333333,12,NA
"Lineage_1841",0,0,0,7,0,0,0,1,7,NA
"Lineage_1843",0,34,3,60,0,0.350515463917526,0.0309278350515464,0.618556701030928,97,NA
"Lineage_1844",3,0,0,0,1,0,0,0,3,0
"Lineage_1850",0,1,1,0,0,0.5,0.5,0,2,0.811278124459133
"Lineage_1852",0,1,4,0,0,0.2,0.8,0,5,0.970950594454669
"Lineage_1855",0,0,2,2,0,0,0.5,0.5,4,NA
"Lineage_1861",2,0,0,0,1,0,0,0,2,0
"Lineage_1863",0,2,0,0,0,1,0,0,2,0
"Lineage_1864",18,0,6,0,0.75,0,0.25,0,24,0.543564443199596
"Lineage_1869",0,1,6,0,0,0.142857142857143,0.857142857142857,0,7,0.985228136034252
"Lineage_1870",0,2,2,0,0,0.5,0.5,0,4,0.811278124459133
"Lineage_1875",2,0,1,0,0.666666666666667,0,0.333333333333333,0,3,0.650022421648354
"Lineage_1878",0,0,2,1,0,0,0.666666666666667,0.333333333333333,3,NA
"Lineage_188",1,0,7,0,0.125,0,0.875,0,8,0.988699408288497
"Lineage_1882",0,0,14,4,0,0,0.777777777777778,0.222222222222222,18,NA
"Lineage_1883",0,0,3,0,0,0,1,0,3,1
"Lineage_1884",0,10,8,0,0,0.555555555555556,0.444444444444444,0,18,0.76420450650862
"Lineage_1885",0,0,1,0,0,0,1,0,1,1
"Lineage_1886",0,0,4,0,0,0,1,0,4,1
"Lineage_1887",0,12,2,0,0,0.857142857142857,0.142857142857143,0,14,0.371232326640876
"Lineage_1889",0,1,0,0,0,1,0,0,1,0
"Lineage_189",0,11,4,0,0,0.733333333333333,0.266666666666667,0,15,0.566509506552905
"Lineage_1897",0,0,1,0,0,0,1,0,1,1
"Lineage_1899",17,3,0,0,0.85,0.15,0,0,20,0.6098403047164
"Lineage_190",0,3,0,0,0,1,0,0,3,0
"Lineage_1900",0,0,6,0,0,0,1,0,6,1
"Lineage_1901",0,4,0,0,0,1,0,0,4,0
"Lineage_1904",1,0,3,0,0.25,0,0.75,0,4,0.954434002924965
"Lineage_1906",0,7,2,0,0,0.777777777777778,0.222222222222222,0,9,0.503258334775646
"Lineage_191",0,10,7,0,0,0.588235294117647,0.411764705882353,0,17,0.733537929108667
"Lineage_1910",0,0,0,2,0,0,0,1,2,NA
"Lineage_1912",9,0,2,0,0.818181818181818,0,0.181818181818182,0,11,0.439496986921513
"Lineage_1913",0,0,0,8,0,0,0,1,8,NA
"Lineage_1915",0,0,0,8,0,0,0,1,8,NA
"Lineage_1919",10,0,2,0,0.833333333333333,0,0.166666666666667,0,12,0.413816850303634
"Lineage_1920",0,4,1,0,0,0.8,0.2,0,5,0.468995593589281
"Lineage_1922",0,0,5,0,0,0,1,0,5,1
"Lineage_1925",0,0,0,2,0,0,0,1,2,NA
"Lineage_1926",23,0,0,0,1,0,0,0,23,0
"Lineage_1928",0,0,6,3,0,0,0.666666666666667,0.333333333333333,9,NA
"Lineage_1929",0,0,0,5,0,0,0,1,5,NA
"Lineage_1930",0,24,0,0,0,1,0,0,24,0
"Lineage_1931",0,13,5,0,0,0.722222222222222,0.277777777777778,0,18,0.581321498763703
"Lineage_1932",0,0,2,6,0,0,0.25,0.75,8,NA
"Lineage_1933",0,3,1,0,0,0.75,0.25,0,4,0.543564443199596
"Lineage_1935",0,0,5,0,0,0,1,0,5,1
"Lineage_1938",0,3,1,0,0,0.75,0.25,0,4,0.543564443199596
"Lineage_1940",0,7,1,0,0,0.875,0.125,0,8,0.337290066617014
"Lineage_1941",0,0,6,0,0,0,1,0,6,1
"Lineage_1946",1,6,1,6,0.0714285714285714,0.428571428571429,0.0714285714285714,0.428571428571429,14,NA
"Lineage_1948",0,5,6,3,0,0.357142857142857,0.428571428571429,0.214285714285714,14,NA
"Lineage_195",0,0,4,0,0,0,1,0,4,1
"Lineage_1956",0,0,0,5,0,0,0,1,5,NA
