"","Monocyte","Neutrophil","Undifferentiated","Other","Monocyte_proportion","Neutrophil_proportion","Undifferentiated_proportion","Other_proportion","lineage_size","entropy"
"Lineage_5848",0,0,6,0,0,0,1,0,6,1
"Lineage_5850",0,8,0,0,0,1,0,0,8,0
"Lineage_5857",2,0,0,0,1,0,0,0,2,0
"Lineage_590",3,2,1,0,0.5,0.333333333333333,0.166666666666667,0,6,0.979868756651153
"Lineage_591",15,2,0,0,0.882352941176471,0.117647058823529,0,0,17,0.522559374536941
"Lineage_593",1,1,1,0,0.333333333333333,0.333333333333333,0.333333333333333,0,3,1
"Lineage_60",0,0,7,0,0,0,1,0,7,1
"Lineage_600",0,1,8,0,0,0.111111111111111,0.888888888888889,0,9,0.991076059838222
"Lineage_604",1,3,0,0,0.25,0.75,0,0,4,0.811278124459133
"Lineage_605",7,0,0,0,1,0,0,0,7,0
"Lineage_606",4,0,1,0,0.8,0,0.2,0,5,0.468995593589281
"Lineage_608",2,0,4,0,0.333333333333333,0,0.666666666666667,0,6,0.91829583405449
"Lineage_609",0,0,1,10,0,0,0.0909090909090909,0.909090909090909,11,NA
"Lineage_612",3,1,0,0,0.75,0.25,0,0,4,0.811278124459133
"Lineage_613",0,0,3,0,0,0,1,0,3,1
"Lineage_614",0,1,0,0,0,1,0,0,1,0
"Lineage_620",0,0,5,0,0,0,1,0,5,1
"Lineage_621",1,0,0,2,0.333333333333333,0,0,0.666666666666667,3,NA
"Lineage_623",0,2,0,0,0,1,0,0,2,0
"Lineage_626",0,0,0,7,0,0,0,1,7,NA
"Lineage_627",0,0,9,0,0,0,1,0,9,1
"Lineage_628",0,0,4,0,0,0,1,0,4,1
"Lineage_63",0,0,5,0,0,0,1,0,5,1
"Lineage_630",1,0,1,0,0.5,0,0.5,0,2,0.811278124459133
"Lineage_633",3,11,33,0,0.0638297872340425,0.234042553191489,0.702127659574468,0,47,0.978998737002276
"Lineage_634",8,0,0,0,1,0,0,0,8,0
"Lineage_635",0,0,6,0,0,0,1,0,6,1
"Lineage_636",0,0,2,10,0,0,0.166666666666667,0.833333333333333,12,NA
"Lineage_64",0,0,7,0,0,0,1,0,7,1
"Lineage_641",7,1,1,0,0.777777777777778,0.111111111111111,0.111111111111111,0,9,0.650022421648354
"Lineage_643",0,0,16,0,0,0,1,0,16,1
"Lineage_644",0,0,1,2,0,0,0.333333333333333,0.666666666666667,3,NA
"Lineage_645",0,0,2,0,0,0,1,0,2,1
"Lineage_647",1,0,0,0,1,0,0,0,1,0
"Lineage_648",0,0,5,4,0,0,0.555555555555556,0.444444444444444,9,NA
"Lineage_649",0,1,3,0,0,0.25,0.75,0,4,0.954434002924965
"Lineage_650",0,0,2,5,0,0,0.285714285714286,0.714285714285714,7,NA
"Lineage_651",0,0,0,2,0,0,0,1,2,NA
"Lineage_654",1,0,4,0,0.2,0,0.8,0,5,0.970950594454669
"Lineage_659",0,0,0,4,0,0,0,1,4,NA
"Lineage_66",0,0,3,0,0,0,1,0,3,1
"Lineage_660",0,0,5,0,0,0,1,0,5,1
"Lineage_665",0,13,3,0,0,0.8125,0.1875,0,16,0.448864488723029
"Lineage_666",0,0,3,0,0,0,1,0,3,1
"Lineage_668",1,0,0,0,1,0,0,0,1,0
"Lineage_67",42,4,19,0,0.646153846153846,0.0615384615384615,0.292307692307692,0,65,0.737048452580107
"Lineage_673",8,20,3,0,0.258064516129032,0.645161290322581,0.0967741935483871,0,31,0.889034903812386
"Lineage_674",0,0,5,1,0,0,0.833333333333333,0.166666666666667,6,NA
"Lineage_675",0,31,0,0,0,1,0,0,31,0
"Lineage_676",0,6,0,0,0,1,0,0,6,0
"Lineage_678",0,0,7,0,0,0,1,0,7,1
"Lineage_680",0,6,2,0,0,0.75,0.25,0,8,0.543564443199596
"Lineage_681",27,0,19,0,0.58695652173913,0,0.41304347826087,0,46,0.73478135221278
"Lineage_683",5,4,0,0,0.555555555555556,0.444444444444444,0,0,9,0.991076059838222
"Lineage_684",16,0,6,0,0.727272727272727,0,0.272727272727273,0,22,0.574635697837679
"Lineage_685",12,3,4,0,0.631578947368421,0.157894736842105,0.210526315789474,0,19,0.831474388009729
"Lineage_688",0,0,0,7,0,0,0,1,7,NA
"Lineage_689",0,0,1,17,0,0,0.0555555555555556,0.944444444444444,18,NA
"Lineage_69",2,1,2,48,0.0377358490566038,0.0188679245283019,0.0377358490566038,0.905660377358491,53,NA
"Lineage_694",4,0,1,0,0.8,0,0.2,0,5,0.468995593589281
"Lineage_697",0,0,0,4,0,0,0,1,4,NA
"Lineage_700",0,0,0,1,0,0,0,1,1,NA
"Lineage_701",5,0,0,0,1,0,0,0,5,0
"Lineage_704",6,8,3,0,0.352941176470588,0.470588235294118,0.176470588235294,0,17,0.989992791557519
"Lineage_706",12,5,1,0,0.666666666666667,0.277777777777778,0.0555555555555556,0,18,0.887976319515135
"Lineage_712",0,0,0,14,0,0,0,1,14,NA
"Lineage_713",0,0,14,0,0,0,1,0,14,1
