clone_id	n_used	delta_mean
11491.0	18	-0.0006225969991646707
31179.0	13	-0.0007213491480797529
57290.0	34	0.0002281543129356578
58036.0	17	0.018255293369293213
66274.0	46	-0.00667280238121748
66784.0	53	-0.0020786512177437544
26385.0	13	0.006197388283908367
61971.0	11	0.0019537536427378654
28192.0	16	-0.007677942514419556
25146.0	13	0.0014419463695958257
61249.0	32	0.0011468511074781418
52371.0	12	-0.006439179182052612
65365.0	40	0.0026785344816744328
13967.0	10	-0.0017257988220080733
54333.0	14	-0.0007268573390319943
64192.0	10	-0.0008984446758404374
28603.0	13	-0.005204773973673582
29189.0	23	0.002766852732747793
61068.0	17	-0.0011840708320960402
65730.0	11	0.003679112996906042
31799.0	17	0.0004268323536962271
60259.0	17	-0.001056920038536191
35091.0	13	-0.004447597544640303
65627.0	23	0.0007117390632629395
64897.0	17	-0.003432449186220765
19762.0	12	-0.004017949104309082
66209.0	22	0.005674286279827356
31416.0	27	-0.0007250308990478516
31031.0	13	0.006317615509033203
55678.0	10	-0.0048941969871521
24371.0	11	0.0014470599126070738
21808.0	12	0.008219162933528423
29556.0	18	0.0020140542183071375
54290.0	47	0.000600997416768223
61400.0	27	0.0020891274325549603
31419.0	13	0.0029774720314890146
60437.0	83	-0.0005649295635521412
56683.0	11	-0.007661971263587475
57997.0	11	-0.0047919913195073605
66412.0	41	0.00010830018436536193
57941.0	21	0.003733024699613452
64297.0	17	0.00533747673034668
54706.0	34	-0.00860542431473732
56042.0	19	-0.013241996988654137
6429.0	10	-0.013067483901977539
63638.0	23	0.0010050457203760743
64253.0	20	0.010842597112059593
58365.0	29	-0.0005045923753641546
52115.0	12	0.0053568086586892605
60435.0	12	-0.003167465329170227
