,gene,score_001_15,score_005_50,rank_1,rank_2
1021,Wfdc3,0.00035937002,0.00051594595,1672.0,1643.0
1022,Efs,0.0016864922,0.0021535507,986.0,1053.0
1023,Cfap46,0.00017862875,0.00023400744,1846.0,1851.0
1024,Vwf,0.00010316137,0.00018519507,1916.0,1895.0
1025,1700016C15Rik,0.00013446681,0.00021295369,1896.0,1871.0
1026,Zdhhc23,0.00017195955,0.00023397435,1851.0,1852.0
1027,Depdc7,0.0026194463,0.0042177998,689.0,570.0
1028,Hist1h4n,0.00031950988,0.00050486735,1705.0,1655.0
1029,Sobp,0.001437001,0.0022068562,1084.0,1038.0
1030,Adamtsl3,0.0010759352,0.0012327782,1250.0,1319.0
1031,Atp2b4,0.0027337787,0.004107763,649.0,602.0
1032,Ube2u,0.00016840143,0.00019376987,1854.0,1888.0
1033,Ces2e,0.0007387914,0.0009528904,1404.0,1427.0
1034,Fzd1,0.0031426419,0.004352488,507.0,538.0
1035,Cst6,0.0008192616,0.0009418687,1366.0,1435.0
1036,Enpep,0.00019935802,0.00018256185,1820.0,1899.0
1037,Lpar1,0.002414018,0.0033248675,759.0,773.0
1038,H2-K1,0.0034230882,0.0045039277,403.0,505.0
1039,Atg4a-ps,0.0001440993,0.00019498724,1881.0,1886.0
1040,Tmtc1,0.0018206611,0.003217118,948.0,797.0
1041,Hs6st2,0.0051045376,0.007576308,55.0,53.0
1042,Ppp1r14c,0.00056037045,0.0007241752,1523.0,1536.0
1043,Bhlha15,0.0001911905,0.00024018106,1834.0,1845.0
1044,Bace2,0.002528575,0.004046669,725.0,620.0
1045,Dclk1,0.0026309083,0.005316174,683.0,300.0
1046,Pak3,0.003661569,0.0049273046,324.0,384.0
1047,Rarb,0.00077447126,0.0011363305,1386.0,1355.0
1048,Cybrd1,0.0005391899,0.00074971846,1541.0,1525.0
1049,Dusp9,0.0008162912,0.0015386146,1369.0,1214.0
1050,Lgi3,0.00040224145,0.0003663421,1638.0,1738.0
1051,Dmpk,0.002782693,0.004715659,634.0,452.0
1052,Glrx,0.0029695744,0.00391517,566.0,646.0
1053,Loxl3,0.0034700697,0.005515012,391.0,257.0
1054,Lgals9,0.002551913,0.004630979,714.0,470.0
1055,Doc2b,9.2619855e-05,0.00010975955,1926.0,1934.0
1056,Acsm1,0.0001826089,0.00033789914,1839.0,1763.0
1057,Gpr62,0.00056157756,0.00060458446,1522.0,1595.0
1058,Rab11fip4,0.00025359963,0.00038169938,1766.0,1724.0
1059,Xrra1,0.0005764178,0.000480901,1512.0,1672.0
1060,Ms4a10,0.002160735,0.0034334513,846.0,745.0
1061,Fcgrt,0.0021255715,0.0027580587,860.0,909.0
1062,Gpd1,0.00025813145,0.00029886758,1761.0,1798.0
1063,Cyp21a1,0.00030436303,0.00012632104,1715.0,1933.0
1064,Chst13,0.0011951893,0.0021687811,1190.0,1048.0
1065,Kcnt2,0.00054043235,0.0007426802,1540.0,1529.0
1066,Tuft1,0.003135898,0.004959131,510.0,373.0
1067,Slc1a1,0.0009047577,0.00094786205,1335.0,1431.0
1068,Mrgprf,0.0003998758,0.00046886774,1639.0,1681.0
1069,Snhg11,0.0011985183,0.0016480105,1188.0,1180.0
1070,Gnmt,0.00018063535,0.0001729033,1842.0,1907.0
1071,Rpp25,0.000403423,0.00062430964,1636.0,1588.0
1072,Ifitm10,0.0012580014,0.0018246758,1158.0,1134.0
1073,Tspan11,0.0008705402,0.00095783785,1350.0,1423.0
1074,Pm20d1,0.00037386923,0.0005581152,1658.0,1616.0
1075,Pax8,4.355939e-05,5.8854865e-05,1945.0,1952.0
1076,En1,0.0036834108,0.006001156,313.0,169.0
1077,Tubb4b,0.0037408518,0.006827052,294.0,80.0
1078,Hpn,0.0003069203,0.0003390798,1713.0,1762.0
1079,Edil3,0.0014508101,0.002855888,1079.0,883.0
1080,Tmem119,0.002245346,0.0036414042,815.0,703.0
1081,Slc43a1,0.00084280514,0.0012090749,1357.0,1327.0
1082,Mtss1,0.0029725817,0.00443324,563.0,523.0
1083,Map1b,0.004287597,0.005739291,135.0,220.0
1084,4921536K21Rik,0.00032320915,0.0004803635,1698.0,1674.0
1085,Crlf1,0.006322689,0.009228962,21.0,25.0
1086,Sv2a,0.0005985524,0.0008504653,1498.0,1482.0
1087,Nhs,0.0029560942,0.003740744,572.0,680.0
1088,Hcn3,0.0002733943,0.0003218825,1750.0,1779.0
1089,Fos,0.004056452,0.00504561,189.0,355.0
1090,Slc51a,0.00033518893,0.000657617,1688.0,1571.0
1091,Acsl1,0.0035196848,0.004732092,373.0,444.0
1092,Npy4r,0.00097121217,0.0015805479,1300.0,1202.0
1093,Syt16,0.00017346961,0.00021824315,1850.0,1864.0
1094,Foxo4,0.0013717234,0.0016019647,1112.0,1192.0
1095,Iqgap2,0.0038398586,0.004864556,252.0,399.0
1096,Ism2,4.875146e-06,1.1829569e-05,1958.0,1957.0
1097,Ace,0.0014130127,0.0026866281,1093.0,925.0
1098,Selenom,0.004453777,0.0055394294,108.0,250.0
1099,Plcd4,0.00090626866,0.0010292273,1333.0,1394.0
1100,Jchain,3.4615456e-05,3.556995e-05,1949.0,1954.0
1101,Spns2,0.00030168536,0.00027889,1720.0,1815.0
1102,Fbxo32,0.0015047975,0.0021782739,1067.0,1045.0
1103,Pcdh7,0.00400597,0.005258808,200.0,309.0
1104,Tcf19,0.001796219,0.0024616276,960.0,977.0
1105,Mrln,0.00015534864,0.00023318257,1869.0,1855.0
1106,Trim30d,0.0021210755,0.0029100943,862.0,866.0
1107,Hes1,0.0039583673,0.005412564,210.0,277.0
1108,Cyp51,0.003961469,0.005996952,208.0,170.0
1109,Hsd17b1,0.00014203599,0.00017523886,1884.0,1904.0
1110,Mif,0.0029215827,0.0047846125,583.0,426.0
1111,Pld6,0.0006018722,0.0005488998,1497.0,1626.0
1112,Csf2rb2,0.000101459336,0.00030367204,1917.0,1796.0
1113,Slc38a3,0.00041621455,0.00036738077,1626.0,1736.0
1114,Cdh13,0.0025338156,0.0040655597,721.0,613.0
1115,Tnfaip3,0.0010175374,0.0016708913,1278.0,1172.0
1116,Esr1,0.00026849945,0.00038365318,1754.0,1723.0
1117,Fhl2,0.004202776,0.0063928785,153.0,117.0
1118,Kcnj2,0.0003447031,0.00048201747,1682.0,1671.0
1119,Steap2,0.0040582544,0.005860551,187.0,200.0
1120,Spry1,0.0024305575,0.0033279872,753.0,771.0
1121,Kcns1,0.00070764584,0.0009760593,1427.0,1416.0
1122,Rasl11b,0.0017342136,0.0021609915,975.0,1051.0
1123,Fam13a,0.0014346209,0.0013313252,1085.0,1290.0
1124,Fam25c,0.0002118914,0.00031993512,1808.0,1782.0
1125,Smarca1,0.002612836,0.0031228748,693.0,818.0
1126,Nup210l,8.357732e-05,9.043416e-05,1930.0,1944.0
1127,Eomes,0.00028474702,0.0003579329,1735.0,1745.0
1128,Tceal9,0.0037838349,0.004260031,278.0,555.0
1129,Pir,0.0036109374,0.006176396,346.0,141.0
1130,Cbr2,0.0005770872,0.0009836099,1511.0,1415.0
1131,Tshz2,0.0038177595,0.0051484634,260.0,331.0
1132,BC049762,0.0002742415,0.00057642296,1749.0,1608.0
1133,Syt7,0.00048952346,0.00075209024,1577.0,1524.0
1134,Pllp,0.00043863695,0.0006433251,1607.0,1580.0
1135,Tssk1,0.00020140182,0.00035860523,1819.0,1743.0
1136,Dusp5,0.0023973582,0.0038008816,764.0,667.0
1137,Kcnma1,0.00069545483,0.00086502364,1438.0,1478.0
1138,Nkx2-9,0.0013352461,0.0017831833,1130.0,1144.0
1139,Gadd45g,0.0039851354,0.0058817687,204.0,194.0
1140,Hoxb9,0.0047660843,0.0069907713,77.0,74.0
1141,Col4a2,0.0039509153,0.0067151673,216.0,89.0
1142,Tmem72,7.709606e-05,8.6277556e-05,1936.0,1945.0
1143,Txndc2,3.171622e-05,6.670286e-05,1950.0,1947.0
1144,H2-Q4,0.0008731452,0.0011857925,1349.0,1335.0
1145,Rpa2,0.00159856,0.0024840194,1020.0,971.0
1146,Msmo1,0.0031928634,0.0052858754,494.0,304.0
1147,Cebpb,0.00419227,0.0056117214,155.0,242.0
1148,Mamstr,0.0004439977,0.00093176373,1602.0,1443.0
1149,Far1,0.004026146,0.0065086246,197.0,105.0
1150,Nuak1,0.003491643,0.004840854,382.0,407.0
1151,Prph,0.000930525,0.0009043699,1320.0,1452.0
1152,Bmp7,0.00061699084,0.00077929476,1489.0,1508.0
1153,Gapdhs,0.00018630452,0.00021816436,1837.0,1865.0
1154,Prrx1,0.00444729,0.0048664915,110.0,398.0
1155,Klhdc8a,0.0032385564,0.0047601564,478.0,437.0
1156,Fgl1,0.00038432152,0.00049378275,1655.0,1660.0
1157,Clmn,0.0026528367,0.0037337714,674.0,683.0
1158,Prkch,0.00033589918,0.00045699443,1687.0,1687.0
1159,AI182371,0.00031574426,0.00035825872,1707.0,1744.0
1160,Itih2,0.001864016,0.0026195503,936.0,942.0
1161,Osr2,0.00061420834,0.00092243025,1491.0,1447.0
1162,Smim24,0.0004884193,0.0009889599,1578.0,1408.0
1163,Lgals3bp,0.0027029982,0.0035889226,659.0,713.0
1164,Ryr2,0.00041147185,0.000537897,1628.0,1633.0
1165,Chst2,0.0027335903,0.0029963295,650.0,843.0
1166,Pde9a,0.00024093573,0.0003253749,1775.0,1775.0
1167,St8sia2,0.0012645143,0.001624608,1155.0,1186.0
1168,Gm9903,0.00036851605,0.00043460692,1665.0,1699.0
1169,Hsf5,0.00019765999,0.0005034392,1822.0,1656.0
1170,Ppp1r1b,8.6707885e-05,0.00014684578,1929.0,1921.0
1171,Sowahb,0.00030294523,0.00050777046,1718.0,1653.0
1172,Ifit1bl2,0.00040443309,0.0006342051,1634.0,1584.0
1173,Vsig8,0.0013750758,0.0015988009,1110.0,1196.0
1174,Adgra2,0.002959646,0.0044508185,570.0,517.0
1175,Rnf223,0.00014843798,0.000223803,1874.0,1861.0
1176,Dab2,0.004070041,0.0061429776,184.0,143.0
1177,Vgll3,0.003912673,0.0064024227,230.0,115.0
1178,Wnt5a,0.003707131,0.005188184,308.0,323.0
1179,Nr4a3,0.00059252034,0.0005973532,1499.0,1599.0
1180,Abi3,0.0004540695,0.00046010144,1599.0,1685.0
1181,Atp1b1,0.005177774,0.006252195,48.0,131.0
1182,Susd4,0.00060944445,0.0009354919,1496.0,1441.0
1183,Prkag3,0.0002511069,0.00020563329,1768.0,1873.0
1184,Gcnt1,0.0010795023,0.0015331991,1248.0,1218.0
1185,Cysltr1,0.0008353617,0.0006407854,1360.0,1583.0
1186,Rgl1,0.0048320885,0.0062907673,69.0,128.0
1187,Spats2l,0.004116018,0.0075652804,169.0,54.0
1188,B3gnt3,0.00022480589,0.00037254553,1789.0,1733.0
1189,Vmn1r40,0.00024813318,0.00029012712,1770.0,1806.0
1190,Htra3,0.00032198604,0.00059306866,1702.0,1600.0
1191,Sox6,0.0008743954,0.0014930348,1348.0,1240.0
1192,Mroh4,0.00013580019,0.00013313167,1894.0,1925.0
1193,Tcf4,0.004491214,0.005972986,104.0,180.0
1194,Il6ra,0.0019578957,0.0024379496,910.0,982.0
1195,Asgr1,0.0005717428,0.0004805594,1514.0,1673.0
1196,Mmp15,0.0022461105,0.0035449148,814.0,724.0
1197,Bcam,0.001060934,0.0012344165,1257.0,1318.0
1198,Samd12,0.0027452726,0.0035712204,642.0,719.0
1199,Trac,0.0007159686,0.0008254152,1425.0,1492.0
1200,Adra1b,0.0025867904,0.0035842052,705.0,714.0
1201,0610040J01Rik,0.00027956665,0.00033378153,1742.0,1767.0
1202,4921507P07Rik,0.00015126525,0.00019882395,1871.0,1880.0
1203,Gm38393,0.0012940294,0.0016895795,1138.0,1168.0
1204,Kifc1,0.002287503,0.00285006,801.0,885.0
1205,Ppp1r3c,0.00075670466,0.0005191446,1394.0,1641.0
1206,C4b,0.00041950095,0.00046999787,1621.0,1680.0
1207,Cebpa,0.0010863817,0.0013061101,1245.0,1296.0
1208,Itgb4,0.0006122643,0.0008282331,1493.0,1490.0
1209,Hspb8,0.0021649748,0.00306725,845.0,828.0
1210,Prr22,4.2240885e-05,5.9459937e-05,1946.0,1950.0
1211,Mroh2a,0.0006739375,0.00087933475,1448.0,1466.0
1212,B3galt2,0.0012179912,0.0021482261,1179.0,1055.0
1213,Nkd1,0.0015215245,0.0024224767,1059.0,985.0
1214,Xntrpc,0.00018231384,0.0002791,1840.0,1814.0
1215,Xpnpep2,0.0002850157,0.00032217384,1733.0,1778.0
1216,2010109A12Rik,0.0008485938,0.000938085,1355.0,1437.0
1217,Atp7b,0.00069919147,0.0007223811,1434.0,1537.0
1218,Socs2,0.0029489817,0.0040357774,575.0,622.0
1219,Stap1,0.0002947951,0.000333505,1724.0,1768.0
1220,Ccdc70,0.00075173273,0.0010044938,1396.0,1403.0
1221,Tgfbr3,0.0032729653,0.004577544,455.0,483.0
1222,Zfp455,0.0002840301,0.00036942973,1736.0,1734.0
1223,Mef2b,0.00019201716,0.0002334556,1831.0,1854.0
1224,Fat4,0.0020703622,0.0029490874,877.0,857.0
1225,Itga1,0.0031414358,0.0043795533,508.0,531.0
1226,Rab27a,0.0011765797,0.0018170263,1202.0,1138.0
1227,Ugp2,0.0038530154,0.005929766,249.0,185.0
1228,Lmx1b,0.0010019145,0.0011672961,1289.0,1344.0
1229,Kcne4,0.0011181316,0.00175875,1229.0,1147.0
1230,Vmn1r90,0.0008125739,0.0011766414,1373.0,1341.0
1231,Ager,0.0010136871,0.0015513268,1281.0,1210.0
1232,Sorbs2,0.0058340253,0.010438956,30.0,14.0
1233,Sgk1,0.004469978,0.00566811,107.0,231.0
1234,Mapk15,0.00029532154,0.00031701504,1723.0,1785.0
1235,Celsr1,0.00043941324,0.00051533163,1606.0,1644.0
1236,Grb7,0.0006990113,0.00086452387,1436.0,1479.0
1237,P4ha2,0.0037815648,0.005822088,279.0,209.0
1238,Tubb5,0.0032088344,0.0041513843,489.0,587.0
1239,Slc8a3,0.00025733263,0.00039387812,1762.0,1718.0
1240,Zfp459,0.00026387983,0.00038772338,1756.0,1721.0
1241,Atp8b1,0.00085837,0.0012883992,1352.0,1303.0
1242,Zc3h12d,0.0003388134,0.00049905846,1686.0,1657.0
1243,Dysf,0.0019811965,0.0022012377,900.0,1042.0
1244,Atoh8,0.0025314584,0.0028001696,723.0,901.0
1245,Cdkn2b,0.004235415,0.006546286,147.0,101.0
1246,Cntnap5a,0.00062280847,0.0008970731,1480.0,1456.0
1247,Otoa,0.0004957103,0.0005502707,1569.0,1623.0
1248,Lrp4,0.0008007894,0.00094894576,1376.0,1430.0
1249,Ttc22,0.00027685927,0.0003093529,1744.0,1792.0
1250,Rassf9,0.0011181644,0.0014265936,1228.0,1265.0
1251,Tox,0.0016668008,0.0025489577,997.0,957.0
1252,B3gnt8,0.0003226527,0.0005686232,1699.0,1611.0
1253,Gsdmd,0.0015434521,0.0018800384,1047.0,1124.0
1254,Adcy1,0.0014406723,0.0020577007,1083.0,1087.0
1255,Nrtn,0.0012839388,0.0018783833,1140.0,1126.0
1256,Serpinf2,0.00038888562,0.00062635704,1649.0,1586.0
1257,Tcp11l1,0.003485687,0.0051789065,385.0,325.0
1258,St6galnac2,0.00034979868,0.0004773018,1676.0,1675.0
1259,Mark1,0.002118884,0.0027416693,864.0,912.0
1260,Hs3st5,0.00010480961,4.130474e-05,1914.0,1953.0
1261,Gramd2,0.00031065993,0.00053123303,1710.0,1636.0
1262,Cdhr1,0.0014207874,0.0017586543,1087.0,1148.0
1263,Myh7,0.0010681219,0.0014831742,1255.0,1243.0
1264,Chrm3,0.0012785334,0.0021194445,1149.0,1065.0
1265,AI661453,0.0010876419,0.0014323497,1242.0,1264.0
1266,Arxes2,0.002721873,0.0041500162,652.0,588.0
1267,Ccdc148,0.00048812997,0.0006742005,1579.0,1561.0
1268,Pdgfb,0.0009053102,0.0013268068,1334.0,1291.0
1269,Rpgrip1,0.002549645,0.004531535,715.0,493.0
1270,Kcnh1,0.0005557164,0.000937465,1525.0,1439.0
1271,Tm6sf2,0.0007175121,0.0009870325,1424.0,1410.0
1272,Kdf1,0.00039119806,0.0004977291,1648.0,1659.0
1273,Slc18a1,0.0004979353,0.00045206252,1566.0,1690.0
1274,Man1a,0.003569587,0.004609583,360.0,474.0
1275,Gabre,0.00091558136,0.0012672401,1327.0,1311.0
1276,Olfr1564,0.00023689034,0.00032483897,1778.0,1776.0
1277,Proser2,0.0023095938,0.00318983,795.0,804.0
1278,Prox1,0.0011645881,0.0013902095,1208.0,1276.0
1279,Igsf9,0.00067606923,0.0009035886,1445.0,1454.0
1280,Stc2,0.0015360931,0.0024390602,1052.0,981.0
1281,Pcdh18,0.0026104124,0.004087998,697.0,606.0
1282,Slc26a2,0.0031357915,0.005039847,511.0,360.0
1283,Cd14,0.0012422253,0.001247595,1167.0,1314.0
1284,Tmem151b,6.4686414e-05,0.0002047844,1940.0,1875.0
1285,Lrrc24,0.0002065363,0.00032944608,1814.0,1772.0
1286,Cdc14a,0.0025477663,0.0038828815,716.0,652.0
1287,Arhgef16,0.00042319234,0.00079237105,1618.0,1503.0
1288,Col11a1,0.0052666264,0.006753806,46.0,82.0
1289,Cacna1b,0.000951793,0.0011766136,1310.0,1342.0
1290,Nbl1,0.0040728394,0.0052433717,183.0,313.0
1291,Sorl1,0.0011309562,0.0012085915,1220.0,1328.0
1292,Fam210b,0.0033987295,0.0047809877,410.0,430.0
1293,Jun,0.0039080363,0.0050216685,233.0,363.0
1294,Nkain2,0.00049601466,0.00073331164,1568.0,1533.0
1295,Msx2,0.0017910264,0.0025105313,962.0,967.0
1296,Krt80,0.0012356354,0.0016162592,1170.0,1189.0
1297,Adrb2,0.002016059,0.0023736604,895.0,1000.0
1298,Pnma1,0.00030222445,0.0005582644,1719.0,1615.0
1299,Ipcef1,0.00047678448,0.00034500702,1586.0,1760.0
1300,Ces2g,0.001205851,0.0016917454,1183.0,1165.0
1301,Lims2,0.003098045,0.0041136052,525.0,598.0
1302,Nmnat3,0.0011273974,0.0017553737,1221.0,1150.0
1303,Cacna1g,0.0024352437,0.0028773844,752.0,877.0
1304,Eppk1,0.0013367806,0.0019517845,1129.0,1107.0
1305,Ttc36,0.0009930452,0.001138239,1295.0,1354.0
1306,Pla2g15,0.00284199,0.0036977327,612.0,688.0
1307,Gpc4,0.003926495,0.006797954,224.0,81.0
1308,Osgin1,0.00072608807,0.0008909695,1418.0,1461.0
1309,Vmn1r42,0.00022125809,0.00025941123,1794.0,1829.0
1310,Ripk4,0.0009514823,0.0009864145,1311.0,1412.0
1311,Drp2,0.00028494667,0.00040290796,1734.0,1713.0
1312,Tuba1c,0.003940083,0.005455212,220.0,268.0
1313,2200002D01Rik,0.003569565,0.0053506307,361.0,291.0
1314,Itga3,0.0021961078,0.003929454,836.0,643.0
1315,Irgm2,0.0009684975,0.0013104775,1302.0,1295.0
1316,Plxna2,0.003308612,0.004276543,445.0,551.0
1317,Gucd1,0.002021695,0.003054346,893.0,831.0
1318,Tceal8,0.0036937746,0.0053994507,311.0,280.0
1319,Slc20a1,0.002984,0.0044705328,561.0,514.0
1320,Snai3,0.00048133527,0.0006618502,1583.0,1568.0
1321,H2-M5,0.00048441644,0.00053486205,1580.0,1635.0
1322,Gpr63,0.0005672753,0.00074614346,1517.0,1527.0
1323,Tlr4,0.0012810308,0.0016188391,1144.0,1187.0
1324,Bex3,0.0036193125,0.0047454997,341.0,439.0
1325,Calml4,0.004005058,0.0047844886,202.0,427.0
1326,Tbx5,0.0013204075,0.0018960976,1135.0,1121.0
1327,Sorcs2,0.0016272621,0.0025175451,1012.0,965.0
1328,Aif1l,0.0021429458,0.002984148,854.0,845.0
1329,Scd1,0.003951786,0.004803244,214.0,417.0
1330,Cadm2,0.0015900006,0.0023859192,1026.0,998.0
1331,Myo15b,0.0014052684,0.0017114353,1099.0,1157.0
1332,P2ry1,0.00067982724,0.00083758263,1444.0,1486.0
1333,Cfap69,0.0012844119,0.002126558,1139.0,1061.0
1334,Mrc2,0.0029035688,0.0042044604,587.0,573.0
1335,Rbms3,0.004317597,0.005859811,129.0,201.0
1336,Cxxc4,0.00274033,0.0043523605,645.0,539.0
1337,Susd2,0.0006716106,0.0010487256,1451.0,1387.0
1338,Zfp934,0.0016730751,0.0029798106,993.0,847.0
1339,Foxa1,0.001511411,0.0024534697,1064.0,980.0
1340,Igfbp7,0.003925547,0.0051007336,225.0,347.0
1341,Pygb,0.0036327278,0.0053633125,337.0,286.0
1342,Rbm14,0.0026277555,0.003665532,686.0,693.0
1343,H2-T24,0.00040887215,0.00058375316,1631.0,1605.0
1344,Sertad4,0.0017525161,0.0023777923,971.0,999.0
1345,Proz,0.0003030257,0.00036178183,1717.0,1740.0
1346,Masp2,0.0010748802,0.0012424377,1252.0,1316.0
1347,Pid1,0.0037604792,0.0045068846,286.0,503.0
1348,Zfp882,0.000996497,0.0014703387,1293.0,1250.0
1349,Myo16,0.0007208444,0.0008834951,1422.0,1462.0
1350,Slc8a1,0.0013844247,0.0025019718,1107.0,969.0
1351,Abca1,0.003164833,0.0047644083,500.0,435.0
1352,Fam20a,0.0011029516,0.0014451769,1234.0,1260.0
1353,Mdm2,0.0032270656,0.0058188583,482.0,210.0
1354,Pls1,0.0003945616,0.00050686876,1643.0,1654.0
1355,Lefty1,0.0013265255,0.0019240204,1133.0,1116.0
1356,Rapgef4,0.0008167745,0.0009874993,1368.0,1409.0
1357,Rcn3,0.0043850956,0.0053456444,117.0,295.0
1358,Gipc3,0.0002147476,0.0003173186,1806.0,1784.0
1359,Lrrc71,0.0004178255,0.00062464137,1624.0,1587.0
1360,4930404N11Rik,0.0003864128,0.0004558493,1653.0,1688.0
1361,Cdhr5,0.0001675621,0.00016543576,1856.0,1910.0
1362,Spire1,0.0038342902,0.005479992,254.0,264.0
1363,Gprc5c,0.00063182873,0.00087163516,1474.0,1472.0
1364,Il13ra1,0.0018186591,0.0044946317,949.0,507.0
1365,Rec8,0.0007276207,0.000745777,1417.0,1528.0
1366,Jade3,0.0022087288,0.0032885838,829.0,780.0
1367,Lgr4,0.0023617977,0.0037780209,776.0,673.0
1368,Adrb3,0.0019013201,0.003082585,926.0,827.0
1369,Zfp185,0.00061352813,0.0005895311,1492.0,1602.0
1370,Bhlhe41,0.0010050323,0.0012529728,1286.0,1313.0
1371,Fam189a2,0.00049805234,0.0006421112,1565.0,1582.0
1372,Bhlhe40,0.0022528728,0.002817794,813.0,894.0
1373,C130074G19Rik,0.0010969372,0.0011251025,1237.0,1363.0
1374,Cgref1,0.0035633477,0.005845776,365.0,204.0
1375,Opn3,0.0011248022,0.0016929709,1223.0,1164.0
1376,Hid1,0.00047628558,0.000558075,1588.0,1617.0
1377,Lurap1l,0.004330842,0.0054708337,126.0,267.0
1378,Gm35339,0.00014213676,0.00019363654,1883.0,1889.0
1379,Aldoc,0.00042888586,0.00055487145,1616.0,1620.0
1380,Insig1,0.002845249,0.0043106396,609.0,547.0
1381,Olfr1313,0.0007066214,0.0015271045,1428.0,1222.0
1382,Rbm20,0.0008833123,0.0012398016,1342.0,1317.0
1383,Hsf2bp,0.0006209404,0.00072196836,1482.0,1538.0
1384,Slc6a6,0.005136462,0.007421794,53.0,56.0
1385,Tbx18,0.0018750466,0.0029715404,933.0,853.0
1386,Net1,0.0035576217,0.006342677,366.0,123.0
1387,Smtnl2,0.00069771556,0.001025221,1437.0,1395.0
1388,Mmp16,0.0015718475,0.0019259932,1039.0,1114.0
1389,Homer2,0.0013826856,0.0015126237,1108.0,1231.0
1390,Samd9l,0.0011423256,0.0018582228,1216.0,1128.0
1391,Them6,0.0009383568,0.001157802,1315.0,1349.0
1392,Unc13d,0.00037064243,0.0006590841,1662.0,1569.0
1393,Arhgap18,0.001724331,0.0026325015,978.0,938.0
1394,Cys1,0.0007302639,0.00083731936,1412.0,1487.0
1395,Nup210,0.00027492142,0.00027568403,1748.0,1817.0
1396,Ankrd44,0.0031083925,0.0033254728,522.0,772.0
1397,Ndrg2,0.0015819755,0.0020124775,1030.0,1098.0
1398,Gm8251,0.0004701311,0.00052051054,1593.0,1640.0
1399,Cutal,0.0003291009,0.00047427468,1691.0,1678.0
1400,Epha4,0.004810737,0.005867041,71.0,199.0
1401,Itm2b,0.0034586475,0.005294333,394.0,302.0
1402,Gm49380,0.00044144262,0.00067159435,1603.0,1563.0
1403,Tmie,0.00058430736,0.0006484488,1508.0,1579.0
1404,Pdgfc,0.0022725102,0.003728214,806.0,684.0
1405,Kcnk5,0.00070419465,0.000947471,1431.0,1432.0
1406,1700028J19Rik,0.0004287409,0.00043557826,1617.0,1696.0
1407,Rasgef1b,0.0028573507,0.0032860006,605.0,782.0
1408,Slc12a2,0.0036752587,0.0061325254,318.0,147.0
1409,Dlc1,0.0034570459,0.005187977,397.0,324.0
1410,Fgf1,0.0004223445,0.00058337906,1619.0,1606.0
1411,Tstd1,0.00027027482,0.00025270763,1752.0,1837.0
1412,Elovl7,0.0017210214,0.0019113736,979.0,1117.0
1413,1700056E22Rik,0.0005658053,0.0008276153,1518.0,1491.0
1414,Htra4,0.00096801465,0.0011583919,1303.0,1347.0
1415,Tcn2,0.0031762964,0.006065068,497.0,158.0
1416,Dennd3,0.0003601019,0.00038063095,1671.0,1725.0
1417,Itga10,0.0016293786,0.0022205869,1010.0,1034.0
1418,Pogk,0.002148166,0.003051402,850.0,833.0
1419,Ret,0.0012667348,0.0014555075,1154.0,1254.0
1420,Slc43a2,0.002284604,0.003127144,803.0,817.0
1421,Gzmm,0.0004791614,0.0005423791,1585.0,1631.0
1422,Tmc7,0.0014692056,0.0018525481,1073.0,1130.0
1423,Cav2,0.003375917,0.004574361,419.0,484.0
1424,Ddx43,0.0003265146,0.00038571347,1694.0,1722.0
1425,Trim30a,0.0009128854,0.0014424822,1330.0,1261.0
1426,Nfatc4,0.0027343368,0.0035457367,648.0,723.0
1427,Ablim1,0.0026650417,0.0042993757,670.0,549.0
1428,Ank2,0.0017155716,0.0026411386,981.0,936.0
1429,Zfp433,0.0009143044,0.0012727476,1329.0,1308.0
1430,Ccdc78,0.00058659574,0.0005717316,1501.0,1609.0
1431,Foxd2,0.00088138407,0.0012246608,1345.0,1322.0
1432,Gm10277,0.0005225672,0.00065354345,1554.0,1575.0
1433,C87436,0.001997805,0.0028620749,899.0,881.0
1434,Zfp503,0.0039965077,0.005979743,203.0,177.0
1435,Cers4,0.003590154,0.0046262345,354.0,471.0
1436,Aldh1b1,0.0006375585,0.001011979,1469.0,1400.0
1437,Svil,0.004107737,0.0061393175,171.0,144.0
1438,D030056L22Rik,0.0021692098,0.0029752136,843.0,850.0
1439,Kiss1r,0.00047635153,0.001079739,1587.0,1377.0
1440,Ldhd,0.00021547647,0.0002946075,1805.0,1802.0
1441,Emc1,0.0028636246,0.0048258547,603.0,411.0
1442,Tmem88b,0.00049227773,0.0006769681,1573.0,1560.0
1443,Morc4,0.0031242731,0.0043266146,515.0,542.0
1444,Lss,0.002136936,0.003055609,857.0,830.0
1445,Sema6a,0.0017988215,0.002339125,959.0,1005.0
1446,Cfap100,0.0014838421,0.0024622283,1069.0,976.0
1447,Agxt2,0.00038526783,0.0005599243,1654.0,1614.0
1448,Nav2,0.0030155247,0.004094614,552.0,605.0
1449,Metrnl,0.0028662845,0.0035778203,600.0,716.0
1450,Fhod3,0.0010579341,0.0014530495,1259.0,1256.0
1451,Hspa1b,0.0018447556,0.00258578,943.0,949.0
1452,Plekhg1,0.0010824435,0.0015901913,1246.0,1199.0
1453,Aldh1l1,0.0005246974,0.00065796176,1552.0,1570.0
1454,Trib1,0.002518219,0.0039301733,728.0,642.0
1455,Hmgcr,0.004421761,0.005523243,113.0,253.0
1456,Zbtb16,0.0025946032,0.0033954063,702.0,757.0
