,gene,score_001_15,score_005_50,rank_1,rank_2
695,Cyp2d10,1.5528165e-05,9.486544e-05,1954.0,1941.0
696,Scn4b,0.00036223757,0.00061058276,1670.0,1593.0
697,Bdnf,0.003812159,0.0050888564,262.0,349.0
698,Cpz,0.0014190585,0.002082501,1088.0,1079.0
699,Lrrc32,0.0025398629,0.0036467945,718.0,699.0
700,Vwce,0.00028825502,0.0003203839,1729.0,1781.0
701,Crygs,0.00026732252,0.00070711673,1755.0,1543.0
702,Eps8l2,0.0020172996,0.0023963407,894.0,991.0
703,Col5a2,0.0041168937,0.0073158164,168.0,63.0
704,Lrrtm3,0.00054938527,0.00051514624,1530.0,1645.0
705,Lhx6,0.00085460785,0.0011192296,1353.0,1365.0
706,Il5,0.00017106472,0.00018349943,1852.0,1897.0
707,Hrh3,9.5966825e-05,0.00018899454,1922.0,1892.0
708,Pglyrp1,0.000527963,0.00052542286,1550.0,1638.0
709,Slc39a4,0.0009003229,0.0011356965,1337.0,1356.0
710,Ifi203,0.0010253689,0.00118483,1275.0,1337.0
711,Slc6a19,0.00016324407,0.00073558284,1862.0,1531.0
712,Ccl17,0.0010613637,0.0015020275,1256.0,1237.0
713,Csgalnact1,0.0023615626,0.0033132622,777.0,777.0
714,Hormad2,0.00014558774,0.00038803805,1877.0,1720.0
715,Kazald1,0.0022124813,0.0032861757,828.0,781.0
716,Mcm6,0.0028791085,0.0040146247,595.0,626.0
717,Hpx,0.0012442255,0.0016896843,1165.0,1167.0
718,Id4,0.002098142,0.0033049884,868.0,778.0
719,Casq1,0.00023579889,0.00034751336,1781.0,1756.0
720,Actr3b,0.0003784336,0.00062687637,1656.0,1585.0
721,Ache,0.00019812377,0.00026552562,1821.0,1826.0
722,Lypd2,7.319385e-05,0.00012931686,1937.0,1929.0
723,Nfkbia,0.0037077686,0.00448855,307.0,509.0
724,Pcna,0.0029885345,0.0040580486,560.0,616.0
725,Cit,0.0018534127,0.0024062013,939.0,990.0
726,Crocc2,0.0006369023,0.0010991532,1470.0,1372.0
727,Gm20379,5.476938e-06,1.0651809e-05,1957.0,1958.0
728,Igfals,0.0002189486,0.0002717461,1799.0,1822.0
729,Lsr,0.0026882058,0.004029381,663.0,623.0
730,Acox2,0.00023128805,0.0003520699,1785.0,1751.0
731,Isyna1,0.002257633,0.0028862003,812.0,872.0
732,Krt20,0.00096244557,0.0016556174,1305.0,1175.0
733,Col8a2,0.00028878,0.0004043036,1728.0,1712.0
734,Nr4a1,0.003413245,0.004724997,406.0,447.0
735,Gadd45a,0.0031549516,0.004487753,503.0,510.0
736,Baat,0.00027567896,0.0002920585,1746.0,1804.0
737,Gsn,0.0031051477,0.005044143,523.0,357.0
738,Selenbp2,0.00043493687,0.0006201397,1612.0,1590.0
739,Smagp,0.00031490606,0.00061714294,1708.0,1591.0
740,Adap1,0.0008107339,0.000845297,1374.0,1485.0
741,Megf6,0.00053024245,0.00065556273,1549.0,1573.0
742,Ocstamp,0.0003444892,0.000483627,1683.0,1668.0
743,Tex15,0.0014126954,0.0020240643,1094.0,1095.0
744,Jam2,0.0022210637,0.004526112,824.0,496.0
745,Rassf4,0.00054723455,0.0009854799,1532.0,1413.0
746,Spdef,0.0003321527,0.00035459426,1689.0,1747.0
747,Ccdc68,0.002697872,0.003993534,660.0,627.0
748,Klhl30,0.0008356162,0.0006726964,1359.0,1562.0
749,Clmp,0.0029568314,0.004484013,571.0,511.0
750,Entpd3,0.000117972486,0.00013878747,1909.0,1924.0
751,S100a1,0.0039348467,0.0063092504,221.0,125.0
752,Porcn,0.0021454717,0.0032244902,852.0,795.0
753,Ceacam1,0.0010569581,0.001093475,1260.0,1374.0
754,Omg,0.00028045956,0.00036128127,1741.0,1741.0
755,Tcim,0.002706562,0.003914538,657.0,647.0
756,Medag,0.0034724423,0.0052173818,388.0,318.0
757,Dnah14,0.00014058358,0.00016543875,1888.0,1909.0
758,Elavl2,0.0016492048,0.002227473,1003.0,1031.0
759,Ncapd2,0.0020575873,0.00297309,887.0,852.0
760,1700001P01Rik,0.00018705227,0.00026938197,1835.0,1824.0
761,Ccdc177,0.00016445782,0.00019728114,1860.0,1882.0
762,Kitl,0.0035678742,0.0066086394,362.0,98.0
763,Nog,0.0022382932,0.003022128,818.0,841.0
764,Vegfd,0.0035105073,0.0053340583,378.0,297.0
765,Cox6b2,0.0046870764,0.00781592,80.0,44.0
766,Stpg1,0.000471799,0.00051200757,1591.0,1649.0
767,Tmem26,0.00021807764,0.00032790846,1801.0,1774.0
768,Pla2g4c,0.0007507756,0.00090619345,1398.0,1451.0
769,Aldh1a3,0.0011924817,0.0015488203,1194.0,1211.0
770,Fxyd3,0.00022119092,0.00029120297,1795.0,1805.0
771,Nkpd1,0.00013656305,0.00023363484,1892.0,1853.0
772,Cttnbp2,0.00051278534,0.00037578316,1560.0,1729.0
773,Jph2,0.0019124165,0.0028238625,924.0,892.0
774,Pcdh9,0.003278737,0.0044497936,451.0,519.0
775,Gcnt3,0.00021706073,0.000737259,1802.0,1530.0
776,Pla2g5,0.00017823024,0.0001979495,1848.0,1881.0
777,Fank1,0.00062761107,0.00058726437,1478.0,1604.0
778,Styxl1,0.00020390312,0.0002580192,1816.0,1830.0
779,Isl2,0.00019434256,0.00023568096,1827.0,1849.0
780,Plp1,0.0008137117,0.00078646257,1370.0,1506.0
781,Jag2,0.00092023687,0.0011025849,1326.0,1369.0
782,Vim,0.0026714192,0.0035744577,666.0,717.0
783,Rprm,0.0028187751,0.0047008856,620.0,457.0
784,Cspg4,0.002645465,0.004194319,676.0,576.0
785,Matn3,0.0011121992,0.0009458259,1231.0,1433.0
786,Maob,0.0013454634,0.0018897933,1123.0,1122.0
787,Mboat1,0.0030456523,0.0042580664,544.0,557.0
788,Lrp2,0.0016474305,0.0025172818,1004.0,966.0
789,Sh2d4a,0.0018008373,0.0022219557,958.0,1032.0
790,Epgn,0.00021654359,0.0002564357,1803.0,1833.0
791,Asb15,3.452612e-06,8.246741e-06,1959.0,1959.0
792,Pde3a,0.0026582277,0.0031934052,673.0,803.0
793,Ifih1,0.0014546912,0.0023398953,1076.0,1004.0
794,Tubb6,0.0039152447,0.004972923,228.0,369.0
795,Colec10,9.390922e-05,0.00019616833,1924.0,1883.0
796,B3gnt6,2.4069344e-05,6.269736e-05,1952.0,1948.0
797,Amy1,0.006780378,0.009306802,17.0,22.0
798,Dhrs3,0.002682141,0.0042187,664.0,569.0
799,Sox11,0.0039041743,0.005347641,235.0,293.0
800,Rasd1,0.00088566495,0.0007762952,1341.0,1511.0
801,Vdr,0.0018702968,0.0030835716,935.0,826.0
802,Plin4,0.0002416868,0.00022706394,1773.0,1858.0
803,Ltk,0.00012710677,0.00041850976,1900.0,1703.0
804,Pak6,0.00020688884,0.00027209683,1813.0,1821.0
805,Adgrf5,0.0017815855,0.0027422362,966.0,911.0
806,Nid2,0.002795094,0.0041672066,630.0,584.0
807,Kif26b,0.0018220826,0.0028263682,947.0,891.0
808,Arhgap11a,0.0028283235,0.004132252,615.0,593.0
809,Chrna5,0.00030815962,0.0005178096,1712.0,1642.0
810,Mmp23,0.003381339,0.00411007,417.0,600.0
811,Prr15,0.00079635193,0.0009689514,1379.0,1418.0
812,Olfml2b,0.0030018804,0.0041806423,556.0,580.0
813,Sept4,0.0006485379,0.00092315377,1464.0,1446.0
814,Vcan,0.004938584,0.005926371,64.0,186.0
815,Errfi1,0.004280278,0.0056522577,136.0,234.0
816,Loxl2,0.0045399736,0.006872949,91.0,77.0
817,Apoa4,0.00030676508,0.0007475992,1714.0,1526.0
818,Nek5,0.00047206253,0.00055018073,1590.0,1624.0
819,Trabd2b,0.0019418949,0.0031983873,918.0,802.0
820,Lrrc39,0.00028150762,0.000301552,1740.0,1797.0
821,Traf1,0.00039160915,0.00036293184,1647.0,1739.0
822,H2-Eb1,0.00040462342,0.00044338097,1633.0,1693.0
823,Rbp1,0.005679628,0.008591078,34.0,31.0
824,Atp2a3,0.000111105415,0.00016514439,1911.0,1912.0
825,Bmx,0.0008830239,0.001223489,1343.0,1324.0
826,Cdc25b,0.0013863766,0.0015099193,1106.0,1232.0
827,Gm13889,0.00030337516,0.0006643279,1716.0,1567.0
828,Marveld2,0.00014744113,0.00023535897,1876.0,1850.0
829,Adamts2,0.0016341972,0.0020584273,1008.0,1085.0
830,Ermap,0.0001479238,0.0001875318,1875.0,1893.0
831,Snai1,0.0019810193,0.0029486543,901.0,858.0
832,Hes6,0.0036384484,0.0053500575,335.0,292.0
833,Slit2,0.0037873706,0.004450591,276.0,518.0
834,Mal2,0.0005493839,0.0011898547,1531.0,1333.0
835,Anxa1,0.0033514437,0.0049456786,427.0,376.0
836,Htr1d,0.00014955338,0.00018463735,1873.0,1896.0
837,Egr3,0.0015477953,0.0025781544,1045.0,952.0
838,Tuba1b,0.003347172,0.0064756894,431.0,108.0
839,Islr,0.0012566415,0.0014968684,1160.0,1238.0
840,Aox4,0.00013494528,0.0001817643,1895.0,1900.0
