lambda,unlabeled_per_batch,batch_size,train_overall_acc,train_overall_unique,test_overall_acc,test_containment,test_overall_rank,test_overall_unique,test_q0,test_q25,test_q50,test_q75,test_q100
0.01,5,50,0.998,1.117,0.585,0.616,1.17,1.328,1,1,1,1.119,2
0.1,5,50,0.897,1.805,0.339,0.463,2.287,2.822,1,1.146,1.5,2.625,7
0.5,5,50,0.711,3.351,0.324,0.54,2.189,3.855,1,1.667,2,3,4
1,5,50,0.606,4.267,0.293,0.544,2.959,4.651,1,2,3,3.667,6
